ingreso,ingreso_scit,tipo
6/1/2021,18/12/2020,Mensura y división                      
11/1/2021,18/12/2020,Mensura                                 
15/1/2021,6/1/2021,Mensura y división  (Reg. prop. horiz.) 
15/1/2021,8/1/2021,Mensura                                 
19/1/2021,14/12/2020,Mensura y división                      
22/1/2021,6/11/2019,Mensura y división  (Reg. prop. horiz.) 
29/1/2021,21/11/2011,Mensura                                 
1/2/2021,6/1/2021,Mensura                                 
1/2/2021,6/1/2021,Mensura y división                      
3/2/2021,13/1/2021,Mensura                                 
3/2/2021,18/1/2021,Mensura                                 
9/2/2021,18/1/2021,Mensura                                 
12/2/2021,20/1/2021,Mensura y división                      
19/2/2021,14/12/2020,Mensura y división  (Reg. prop. horiz.) 
22/2/2021,18/10/2019,Mensura y división  (Reg. prop. horiz.) 
1/3/2021,18/2/2021,Mensura y división  (Reg. prop. horiz.) 
1/3/2021,22/2/2021,Mensura y división  (Reg. prop. horiz.) 
1/3/2021,22/2/2021,Mensura                                 
1/3/2021,20/2/2021,Mensura                                 
3/3/2021,19/2/2021,Mensura y división                      
3/3/2021,5/2/2021,Mensura                                 
4/3/2021,3/2/2021,Mensura                                 
"10/3/2021,3/4/2018,""Mensura, unión y subdivisión            """
15/3/2021,16/8/2019,Mensura                                 
23/3/2021,18/3/2021,Mensura y división                      
26/3/2021,22/7/2019,Mensura y división  (Reg. prop. horiz.) 
5/4/2021,5/2/2021,Unificacion                             
8/4/2021,21/1/2021,Mensura                                 
13/4/2021,31/3/2021,Mensura                                 
3/5/2021,8/4/2021,Unificacion                             
3/5/2021,26/4/2013,Mensura                                 
3/5/2021,23/4/2021,Mensura                                 
3/5/2021,12/8/2020,Unificacion                             
5/5/2021,11/11/2020,Mensura                                 
6/5/2021,25/4/2011,Mensura                                 
7/5/2021,26/4/2021,Mensura                                 
7/5/2021,20/2/2021,Mensura y división                      
7/5/2021,31/3/2021,Mensura y división                      
12/5/2021,29/3/2021,Mensura                                 
12/5/2021,16/3/2021,Mensura                                 
12/5/2021,27/4/2021,Mensura y división  (Reg. prop. horiz.) 
13/5/2021,11/11/2020,Mensura y división                      
13/5/2021,6/4/2021,Unificacion                             
20/5/2021,17/5/2021,Mensura y división                      
20/5/2021,28/11/2018,Mensura                                 
1/6/2021,20/5/2021,Mensura y división                      
1/6/2021,12/5/2021,Mensura y división                      
1/6/2021,11/5/2021,Mensura y subdivisión                   
4/6/2021,11/5/2021,Mensura y subdivisión                   
7/6/2021,6/5/2021,Mensura                                 
7/6/2021,7/4/2021,Mensura                                 
10/6/2021,17/5/2021,Mensura                                 
10/6/2021,22/4/2021,Mensura                                 
10/6/2021,15/3/2019,Mensura                                 
16/6/2021,14/6/2021,Unificacion                             
23/6/2021,1/6/2021,Mensura                                 
23/6/2021,18/1/2021,Mensura                                 
24/6/2021,13/1/2017,Mensura                                 
25/6/2021,28/4/2021,Mensura y división                      
