ingreso,ingreso_scit,tipo
5/7/2021,23/10/2018,Mensura                                 
6/7/2021,8/1/2021,Mensura                                 
7/7/2021,10/6/2021,Mensura y división  (Reg. prop. horiz.) 
7/7/2021,26/5/2021,Mensura                                 
7/7/2021,12/12/2019,Mensura                                 
7/7/2021,5/7/2021,Mensura                                 
14/7/2021,23/8/2017,Estado Preparatorio Usucapion Admin.    
20/7/2021,18/8/2011,Mensura                                 
20/7/2021,14/7/2021,Mensura                                 
"21/7/2021,2/7/2021,""Mens, urb. y loteo p/constit. serv. duct"""
21/7/2021,2/7/2021,Mensura                                 
26/7/2021,10/3/2021,Mensura y división                      
"27/7/2021,9/11/2017,""Mensura, unión y subdivisión            """
27/7/2021,4/6/2021,Mensura                                 
2/8/2021,18/5/2021,Mensura                                 
5/8/2021,19/7/2021,Mensura                                 
5/8/2021,29/10/2013,Mensura                                 
13/8/2021,11/8/2021,Mensura y subdivisión                   
20/8/2021,6/8/2021,Mensura                                 
26/8/2021,30/7/2018,Mensura                                 
27/8/2021,12/5/2021,Unificacion                             
17/5/2021,12/4/2021,Mensura y división                      
1/9/2021,1/6/2021,Sub. Regimen propiedad horizontal       
2/9/2021,30/4/2021,Mensura                                 
3/9/2021,11/6/2021,Mensura y división                      
3/9/2021,28/5/2021,Mensura y división                      
3/9/2021,22/6/2021,Mensura y división                      
3/9/2021,13/4/2021,                                        
7/9/2021,8/9/2014,Mensura                                 
6/9/2021,8/6/2021,Mensura                                 
6/9/2021,11/6/2021,Mensura y división                      
7/9/2021,2/9/2021,Mensura                                 
9/9/2021,22/11/2012,Mensura                                 
10/9/2021,6/7/2021,Mensura                                 
13/9/2021,30/8/2021,Mensura                                 
17/9/2021,14/12/2020,Mensura y división  (Reg. prop. horiz.) 
21/9/2021,15/9/2021,Mensura y división  (Reg. prop. horiz.) 
29/9/2021,13/8/2021,Mensura                                 
14/10/2021,7/5/2013,Mensura                                 
19/10/2021,27/9/2021,Mensura                                 
2/11/2021,1/9/2021,Mensura y división  (Reg. prop. horiz.) 
10/11/2021,26/10/2021,Mensura                                 
11/11/2021,10/8/2021,Mensura                                 
25/11/2021,19/11/2021,Unificacion                             
29/11/2021,9/11/2021,Mensura                                 
29/11/2021,24/11/2021,Mensura                                 
29/11/2021,10/11/2021,Mensura y división                      
2/12/2021,15/7/2021,Mensura y división  (Reg. prop. horiz.) 
2/12/2021,18/11/2021,Mensura y subdivisión                   
3/12/2021,29/11/2021,Mensura y subdivisión                   
3/12/2021,29/11/2021,Mensura                                 
6/12/2021,19/6/2019,Mensura                                 
14/12/2021,5/11/2021,Sub. Regimen propiedad horizontal       
15/12/2021,13/12/2021,Mensura                                 
20/12/2021,4/8/2021,Mensura y división                      
22/12/2021,12/12/2021,Mensura y división                      
23/12/2021,6/12/2021,Mensura y subdivisión                   
27/12/2021,20/12/2021,Mensura y división  (Reg. prop. horiz.) 
27/12/2021,7/12/2021,Mensura                                 
28/12/2021,19/2/2021,Mensura y división                      
28/12/2021,20/10/2021,Mensura y división                      
28/12/2021,22/12/2021,Mensura y división  (Reg. prop. horiz.) 
28/12/2021,23/12/2021,Mensura                                 
28/12/2021,23/12/2021,Mensura                                 
28/12/2021,16/12/2021,Mensura y división                      
