ingreso,ingreso_scit,tipo
12/1/2023,9/1/2023,Mensura y división                      
17/1/2023,9/1/2023,Mensura y subdivisión                   
17/1/2023,21/12/2022,Mensura                                 
20/1/2023,5/12/2022,Mensura y subdivisión                   
20/1/2023,1/7/2015,Mensura                                 
27/1/2023,9/2/2022,Mensura                                 
30/1/2023,20/12/2022,Mensura y división  (Reg. prop. horiz.) 
3/2/2023,18/1/2023,Mensura y división  (Reg. prop. horiz.) 
3/2/2023,17/1/2023,Mensura y división  (Reg. prop. horiz.) 
6/2/2023,4/6/2021,Mensura                                 
9/2/2023,22/11/2022,Mensura y subdivisión                   
14/2/2023,16/1/2023,Mensura                                 
15/2/2023,3/11/2022,Mensura                                 
15/2/2023,25/1/2023,Mensura y subdivisión                   
17/2/2023,23/1/2023,Mensura y división  (Reg. prop. horiz.) 
8/3/2023,10/3/2012,Unificacion                             
9/3/2023,8/7/1989,Mensura y división                      
13/3/2023,26/1/2023,Mensura parcial                         
17/3/2023,17/11/2022,Mensura y división  (Reg. prop. horiz.) 
21/3/2023,23/2/2023,Mensura y subdivisión                   
28/3/2023,19/10/2017,Unificacion                             
31/3/2023,13/9/2012,Mensura                                 
4/4/2023,13/4/2021,Mensura                                 
4/4/2023,17/12/2021,Mensura                                 
5/4/2023,18/4/2023,Mensura                                 
10/4/2023,16/1/2023,Mensura y división  (Reg. prop. horiz.) 
4/4/2023,17/2/2023,Mensura                                 
12/4/2023,22/3/2023,Mensura y subdivisión                   
14/4/2023,15/3/2023,Mensura                                 
13/4/2023,13/12/2022,Mensura                                 
14/4/2023,22/3/2023,Mensura                                 
17/4/2023,23/3/2023,Unificacion                             
8/5/2023,11/4/2023,Mensura y división                      
4/5/2023,2/12/2014,Mensura                                 
3/5/2023,22/7/2022,Mensura y división  (Reg. prop. horiz.) 
3/5/2023,30/3/2023,Mensura                                 
12/5/2023,2/2/2018,Mensura                                 
15/5/2023,25/4/2023,Mensura                                 
23/5/2023,25/4/2023,Mensura y división                      
23/5/2023,27/1/2023,Mensura                                 
23/5/2023,16/3/2023,Mensura                                 
5/6/2023,28/12/2022,Mensura                                 
5/6/2023,22/12/2021,Unificacion                             
5/6/2023,13/12/2022,Mensura                                 
5/6/2023,13/12/2022,Mensura                                 
5/6/2023,13/12/2022,Mensura                                 
5/6/2023,8/6/2023,Mensura                                 
2/6/2023,19/4/2023,Mensura y división  (Reg. prop. horiz.) 
2/6/2023,6/4/2023,Mensura                                 
6/6/2023,17/4/2023,Mensura                                 
8/6/2023,27/1/2023,Mensura y subdivisión                   
8/6/2023,27/5/2011,Mensura                                 
8/6/2023,12/5/2023,Mensura                                 
16/6/2023,12/4/2023,Mensura y división  (Reg. prop. horiz.) 
14/6/2023,12/4/2023,Mensura y división  (Reg. prop. horiz.) 
14/6/2023,15/5/2023,Mensura                                 
27/6/2023,23/1/2023,Mensura                                 
26/6/2023,6/6/2023,Mensura                                 
26/6/2023,6/6/2023,Unificacion                             
26/6/2023,8/6/2023,Mensura                                 
27/6/2023,8/5/2023,Mensura                                 
28/6/2023,27/4/2023,Mensura                                 
28/6/2023,5/6/2023,Modificacion de Estado Parcelario       
30/6/2023,25/4/2023,Mensura y división                      
6/7/2023,9/6/2023,Mensura y división                      
5/7/2023,6/6/2023,Mensura                                 
6/7/2023,2/12/2020,Mensura                                 
6/7/2023,15/3/2023,Mensura y división  (Reg. prop. horiz.) 
6/7/2023,22/11/2022,Mensura                                 
7/7/2023,16/3/2023,Mensura                                 
6/7/2023,23/6/2023,Mensura                                 
12/7/2023,7/3/2023,Mensura                                 
21/7/2023,5/6/2023,Mensura y subdivisión                   
27/7/2023,29/5/2023,Estado Preparatorio Usucapion Admin.    
21/7/2023,17/5/2023,Estado Preparatorio Usucapion Admin.    
21/7/2023,4/7/2023,Estado Preparatorio Usucapion Admin.    
21/7/2023,3/7/2023,Estado Preparatorio Usucapion Admin.    
24/7/2023,23/5/2023,Estado Preparatorio Usucapion Admin.    
24/7/2023,30/5/2023,Estado Preparatorio Usucapion Admin.    
24/7/2023,3/7/2023,Estado Preparatorio Usucapion Admin.    
20/7/2023,27/6/2023,Mensura                                 
21/7/2023,22/3/2023,Mensura                                 
21/7/2023,5/7/2023,Mensura                                 
26/7/2023,10/5/2023,Estado Preparatorio Usucapion Admin.    
26/4/2023,23/5/2023,Estado Preparatorio Usucapion Admin.    
26/7/2023,23/5/2023,Estado Preparatorio Usucapion Admin.    
26/7/2023,5/6/2023,Estado Preparatorio Usucapion Admin.    
26/7/2023,23/5/2023,Estado Preparatorio Usucapion Admin.    
26/7/2023,9/3/2023,Mensura                                 
26/7/2023,18/4/2023,Mensura y subdivisión                   
25/7/2023,11/4/2023,Mensura y división  (Reg. prop. horiz.) 
25/7/2023,10/7/2023,Mensura y división  (Reg. prop. horiz.) 
28/7/2023,10/3/2023,Mensura                                 
28/7/2023,2/3/2023,Mensura                                 
2/8/2023,28/2/2023,Mensura y división                      
2/8/2023,3/7/2023,Mensura                                 
2/8/2023,14/7/2023,Mensura                                 
