ingreso,ingreso_scit,tipo
3/8/2023,9/6/2023,Mensura                                 
3/8/2023,9/12/2020,Mensura                                 
2/8/2023,16/6/2021,Mensura                                 
2/8/2023,15/6/2021,Mensura                                 
4/8/2023,5/4/2023,Mensura                                 
5/8/2023,9/3/2023,Mensura                                 
8/8/2023,12/4/2023,Mensura                                 
8/8/2023,4/4/2023,Mensura                                 
8/8/2023,1/8/2023,Mensura y división  (Reg. prop. horiz.) 
9/8/2023,21/4/2023,Mensura y división  (Reg. prop. horiz.) 
10/8/2023,12/4/2023,Mensura                                 
11/8/2023,22/3/2023,Mensura y división  (Reg. prop. horiz.) 
15/8/2023,14/11/2022,Mensura y división  (Reg. prop. horiz.) 
11/8/2023,2/8/2023,Mensura y subdivisión                   
15/8/2023,6/6/2023,Mensura                                 
16/8/2023,12/7/2023,Mensura y división  (Reg. prop. horiz.) 
17/8/2023,7/2/2023,Unificacion                             
18/8/2023,3/8/2023,Mensura y división  (Reg. prop. horiz.) 
18/8/2023,1/8/2023,Mensura y división  (Reg. prop. horiz.) 
25/8/2023,4/8/2023,Mensura y división                      
25/8/2023,5/7/2023,Mensura y división                      
14/8/2023,3/8/2023,Mensura                                 
29/8/2023,9/8/2023,Mensura y subdivisión                   
29/8/2023,20/7/2023,Mensura                                 
30/8/2023,9/3/2023,Mensura                                 
30/8/2023,9/3/2023,Estado Preparatorio Usucapion Admin.    
30/8/2023,9/3/2023,Mensura                                 
30/8/2023,13/12/2022,Mensura                                 
4/9/2023,29/5/2023,Estado Preparatorio Usucapion Admin.    
4/9/2023,8/5/2023,Estado Preparatorio Usucapion Admin.    
4/9/2023,5/6/2023,Estado Preparatorio Usucapion Admin.    
4/9/2023,5/6/2023,Estado Preparatorio Usucapion Admin.    
4/9/2023,5/6/2023,Estado Preparatorio Usucapion Admin.    
4/9/2023,8/5/2023,Estado Preparatorio Usucapion Admin.    
1/9/2023,11/8/2023,Constitucion de Estado Parcelario       
7/9/2023,14/12/2022,Estado Preparatorio Usucapion Admin.    
8/9/2023,10/2/2023,Modificacion de Estado Parcelario       
11/9/2023,25/8/2023,Constitucion de Estado Parcelario       
11/9/2023,5/7/2023,Mensura y división  (Reg. prop. horiz.) 
19/9/2023,5/9/2023,Modificacion de Estado Parcelario       
10/8/2023,14/7/2023,Estado Preparatorio Usucapion Judicial  
25/9/2023,14/7/2023,Modificatoria de PH                     
27/9/2023,14/9/2023,Constitucion de Estado Parcelario       
2/10/2023,9/12/2021,Estado Preparatorio Usucapion Admin.    
2/10/2023,5/6/2023,Estado Preparatorio Usucapion Admin.    
3/10/2023,1/6/2023,Estado Preparatorio Usucapion Admin.    
3/10/2023,15/5/2023,Constitucion de Estado Parcelario       
4/10/2023,1/8/2023,Mensura y división  (Reg. prop. horiz.) 
6/10/2023,18/9/2023,Constitucion de Estado Parcelario       
19/10/2023,4/7/2023,Constitucion de Estado Parcelario       
27/10/2023,31/10/2022,Constitucion de Estado Parcelario       
27/10/2023,20/9/2023,Unificacion                             
2/11/2023,20/10/2023,Modificacion de Estado Parcelario       
2/11/2023,5/10/2023,Mensura                                 
2/11/2023,4/10/2023,Mensura                                 
6/11/2023,17/1/2013,Mensura                                 
1/11/2023,14/7/2023,Constitucion de Estado Parcelario       
3/11/2023,23/10/2023,Modificacion de Estado Parcelario       
7/11/2023,30/10/2023,Mensura y subdivisión                   
7/11/2023,8/1/2022,Estado Preparatorio Usucapion Admin.    
8/11/2023,11/8/2023,Modificacion de Estado Parcelario       
13/11/2023,23/10/2023,Constitucion de Estado Parcelario       
13/11/2023,5/7/2023,Estado Preparatorio Usucapion Judicial  
17/11/2023,9/11/2023,Mensura y división  (Reg. prop. horiz.) 
21/11/2023,3/11/2023,Constitucion de Estado Parcelario       
23/11/2023,22/8/2023,Estado Preparatorio Usucapion Admin.    
23/11/2023,23/8/2023,Estado Preparatorio Usucapion Admin.    
23/11/2023,6/9/2023,Estado Preparatorio Usucapion Admin.    
23/11/2023,17/8/2023,Estado Preparatorio Usucapion Admin.    
23/11/2023,17/8/2023,Estado Preparatorio Usucapion Admin.    
24/11/2023,9/11/2023,Modificacion de Estado Parcelario       
24/11/2023,8/11/2023,Verificacion Estado Parcelario (VEP)    
27/11/2023,31/10/2023,Mensura y división  (Reg. prop. horiz.) 
24/11/2023,9/11/2023,Unificacion                             
29/11/2023,24/8/2023,Modificacion de Estado Parcelario       
30/11/2023,22/11/2023,Constitucion de Estado Parcelario       
30/11/2023,23/3/2023,Mensura y división  (Reg. prop. horiz.) 
1/12/2023,23/8/2023,Estado Preparatorio Usucapion Admin.    
1/12/2023,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/12/2023,23/8/2023,Estado Preparatorio Usucapion Admin.    
1/12/2023,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/12/2023,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/12/2023,23/5/2023,Estado Preparatorio Usucapion Admin.    
28/11/2023,20/10/2023,Mensura y división  (Reg. prop. horiz.) 
4/12/2023,31/10/2023,Constitucion de Estado Parcelario       
11/12/2023,14/11/2022,Unificacion                             
14/12/2023,24/8/2023,Estado Preparatorio Usucapion Admin.    
12/12/2023,31/10/2023,Mensura y división  (Reg. prop. horiz.) 
12/12/2023,24/11/2023,Estado Preparatorio Usucapion Judicial  
12/12/2023,24/11/2023,Constitucion de Estado Parcelario       
18/12/2023,26/6/2023,Estado Preparatorio Usucapion Admin.    
18/12/2023,6/6/2023,Mensura y división  (Reg. prop. horiz.) 
30/10/2023,22/9/2023,Mensura y división  (Reg. prop. horiz.) 
6/10/2023,21/9/2023,Estado Preparatorio Usucapion Judicial  
20/12/2023,16/5/2023,Estado Preparatorio Usucapion Admin.    
20/12/2023,1/11/2022,Estado Preparatorio Usucapion Admin.    
20/12/2023,20/7/2023,Estado Preparatorio Usucapion Admin.    
20/12/2023,23/3/2023,Estado Preparatorio Usucapion Admin.    
20/12/2023,6/7/2023,Estado Preparatorio Usucapion Admin.    
20/12/2023,3/5/2023,Estado Preparatorio Usucapion Admin.    
19/12/2023,21/9/2023,Mensura y división  (Reg. prop. horiz.) 
22/12/2023,30/11/2023,Mensura y división  (Reg. prop. horiz.) 
22/12/2023,24/11/2023,Estado Preparatorio Usucapion Judicial  
22/12/2023,10/11/2023,Modificacion de Estado Parcelario       
22/12/2023,7/12/2023,Modificacion de Estado Parcelario       
27/12/2023,11/9/2023,Constitucion de Estado Parcelario       
29/12/2023,31/8/2023,Restitucion Estado Parcelario (REP)     
