categoria,mes,valor_ars
19,2025-11,"1.072.468,70"
20,2025-11,"1.112.033,79"
21,2025-11,"1.181.273,86"
22,2025-11,"1.230.724,39"
23,2025-11,"1.311.265,52"
24,2025-11,"1.370.618,40"
8,2025-12,"423.912,04"
9,2025-12,"456.403,64"
10,2025-12,"473.343,86"
11,2025-12,"503.022,33"
12,2025-12,"528.454,54"
13,2025-12,"562.370,56"
14,2025-12,"604.761,63"
15,2025-12,"659.869,40"
16,2025-12,"761.608,14"
17,2025-12,"782.801,04"
18,2025-12,"825.192,14"
19,2025-12,"1.072.468,70"
20,2025-12,"1.112.033,79"
21,2025-12,"1.181.273,86"
22,2025-12,"1.230.724,39"
23,2025-12,"1.311.265,52"
24,2025-12,"1.370.618,40"
