presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2022-01-5,2021-05-11,18000300000,"77,98",CONS VIVIENDA            
2022-01-5,2021-08-25,45300900000,"230,41",VIVIENDA                 
2022-01-5,2021-12-13, 00793C00900000  ,"102,06",VIVIENDA                 
2022-01-6,2021-07-30, 00809E00300000  ,"139,27",VIVIENDA                 
2022-01-6,2021-10-14,33601900000,"194,39",VIVIENDA                 
2022-01-6,2021-11-25,5601400000,"57,11",VIVIENDA                 
2022-01-7,2021-11-4, 00148C01200000  ,"81,61",VIVIENDA                 
2022-01-10,2021-09-28, 00149A02400000  ,"211,58",VIVIENDAS                
2022-01-10,2021-09-29,26400900000,"137,84",VIVIENDA                 
2022-01-10,2021-11-4,62902800000,"246,17",REG AMP VIVIENDA         
2022-01-11,2021-05-21, P1301301800000  ,556,CONS VIVIENDA            
2022-01-11,2021-10-14,54202400000,"276,3",VIVIENDA                 
2022-01-11,2021-10-18, P0703100200000  ,"886,57",REG VIVIENDA             
2022-01-11,2021-11-17,49600900000,"410,8",CONS AMP ALERO           
2022-01-12,2021-11-18, 00674A02100000  ,"115,27",CONS VIVIENDA            
2022-01-12,2021-12-2, 00120E01400000  ,"212,64",VIVIENDA                 
2022-01-12,2021-12-3, 0930B202800000  ,"81,77",VIVIENDA                 
2022-01-12,2021-12-9,42201400000,"173,71",VIVIENDA                 
2022-01-13,2021-11-12,69400100000,"156,88",VIVIENDA                 
2022-01-13,2021-11-23, 00908E00900000  ,"79,78",CONS VIVIENDA            
2022-01-13,2021-11-24,52903300000,"174,34",VIVIENDA                 
2022-01-13,2021-12-14, 00793A03200000  ,"65,33",VIVIENDA-PISCINA         
2022-01-14,2021-09-30, 00245B01300000  ,"130,9",REG VIVIENDA             
2022-01-14,2021-12-2,27101700000,"186,11",VIVIENDA                 
2022-01-14,2021-12-7,27101800000,"2,4",PISCINA                  
2022-01-14,2021-12-22, 00962A01700000  ,"325,06",VIVIENDA                 
2022-01-14,2022-01-14,20902500000,"49,7",PLANO MUNICIPAL          
2022-01-17,2021-10-1,33202200000,"213,59",VIVIENDA                 
2022-01-17,2021-11-1,126901400000,"133,03",VIVIENDA                 
2022-01-17,2021-11-2,26100300000,"183,5",VIVIENDA                 
2022-01-18,2021-12-3, 0078A101900000  ,"77,01",CONS VIVIENDA            
2022-01-19,2019-05-9, P1300602400000  ,"294,98",FABRICA Y DEPOSITO       
2022-01-19,2021-08-12,121400700000,"215,2",REG VIVIENDA             
2022-01-19,2021-12-3, 01261I01500000  ,"276,37",CONS VIVIENDA            
2022-01-20,2021-01-27,50000300001,"414,38",REG VIVIENDA             
2022-01-20,2021-06-16,57900500000,"323,07",AMP VIVIENDA             
2022-01-20,2021-09-14,91500600000,"252,96",CONS VIVIENDA            
2022-01-20,2021-09-22,51600600000,"139,98",REG VIVIENDA             
2022-01-20,2021-09-27,84502500000,"252,1",REG.PISCINA              
2022-01-21,2021-04-22,79302100000,78,DEMOLICION TOTAL         
2022-01-21,2021-06-22, 00747F00200000  ,"162,75",REG VIVIENDA             
2022-01-21,2021-09-14,6006500000,"163,88",VIVIENDA                 
2022-01-21,2021-10-29,71101700000,"222,76",CONS VIVIENDA            
2022-01-21,2021-11-10,120800500000,"532,14",AMP VIVIENDA             
2022-01-21,2021-11-16,32100600000,"106,08",REG VIVIENDA             
2022-01-21,2021-11-19,14301900000,"277,5",CONFORME A OBRA          
2022-01-21,2021-12-3, 00244A01000000  ,"188,72",REG VIVIENDA             
2022-01-21,2021-12-14, 00148A02600000  ,"125,95",AMP VIVIENDA             
2022-01-21,2021-12-16,18400400000,"166,75",AMP VIVIENDA             
2022-01-24,2020-01-6,56300200000,"149,92",DEMOLICION PARCIAL       
2022-01-24,2021-08-20, 00931E00300000  ,"484,36",CONS VIVIENDA            
2022-01-24,2021-09-28, 00747I02500002  ,"246,87",VIVIENDAS                
2022-01-24,2021-11-11, C0708206200000  ,"13,72",PANTEON                  
