mes,actualizaciones,nuevo_ejemplar,pasaporte,nuevo_ejemplar_sin_cargo,dni_0_años,actualizacion_sin_cargo
enero,117,136,144,22,10,30
febrero,83,101,99,41,11,47
marzo,60,110,105,46,22,41
abril,52,92,130,41,12,22
mayo,49,133,135,40,22,24
junio,43,119,140,37,15,37
julio,87,136,156,37,17,35
agosto,63,161,106,40,16,38
septiembre,66,159,165,42,18,33
octubre,89,197,135,33,24,34
noviembre,68,151,108,47,15,27
diciembre,96,190,131,33,19,23
