presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2021-01-4,2020-06-17,78801800000,"192,92",VIVIENDA                 
2021-01-5,2020-07-21,67900600000,"235,98",REG VIVIENDA             
2021-01-5,2020-09-14,19402000000,"197,78",AMP VIVIENDA             
2021-01-5,2020-09-16,112302900000,"157,88",CONS VIVIENDA            
2021-01-5,2020-11-18, 0082CH01600000  ,"68,55",CONS VIVIENDA            
2021-01-6,2020-10-21,79502100000,"163,24",REG AMP VIVIENDA         
2021-01-6,2020-10-28,72902500000,"211,03",AMP VIVIENDA             
2021-01-8,2020-01-16, P1400202200000  ,"5023,55",CENTRO INVESTIGACION     
2021-01-8,2020-09-15, 00330B00200001  ,"168,75",REG - CAMBIO DE USO      
2021-01-8,2020-09-28,59602500000,"666,09",LOCAL COM.DEP.V          
2021-01-8,2020-10-20, 00065J00900000  ,"344,82",OFICINA-DEPOSITO         
2021-01-8,2020-11-17, 00755A03200000  ,"134,35",REGULARIZACION           
2021-01-11,2020-07-21, 0077G100200000  ,"312,28",REG VIVIENDA             
2021-01-11,2020-08-14,89700300000,"147,73",REG VIVIENDA             
2021-01-11,2020-10-5,66201300000,"162,64",AMP VIVIENDA             
2021-01-11,2020-11-18,61402000000,"144,41",REG AMP VIVIENDA         
2021-01-12,2020-07-17, 00081B01600000  ,"94,09",REG VIVIENDA             
2021-01-12,2020-08-28,3001000000,"241,07",CONS VIVIENDA            
2021-01-12,2020-10-21, 00908F03200000  ,"4,35",PISCINA                  
2021-01-12,2020-11-18, 00930F01000000  ,"274,34",CONS VIVIENDA            
2021-01-13,2020-07-23, 00143A02600000  ,"96,24",CONS. AMP VIVIENDA       
2021-01-13,2020-09-16, P1302200400000  ,"848,93",REG-AMP.                 
2021-01-13,2020-09-29,83001000000,"93,34",AMP VIVIENDA             
2021-01-13,2020-10-1,36602900000,468,AMP VIVIENDA             
2021-01-13,2020-11-2, 077CH101600000  ,"151,42",CONS VIVIENDA            
2021-01-13,2020-11-16,54600900000,"101,75",REG AMP VIVIENDA         
2021-01-14,2019-04-24, 00931S00300000  ,"254,36",REG ALERO                
2021-01-14,2020-09-21, 00548C00400000  ,"78,42",DEMOLICION PARCIAL       
2021-01-15,2016-06-9,55703600004,"449,64",REGULARIZACION           
2021-01-15,2020-07-14, 00118B01500000  ,"295,9",REG VIVIENDA             
2021-01-15,2020-10-14,49003100000,"477,36",CONS VIVIENDA COLECTIVA  
2021-01-15,2020-11-11,53200600000,"1489,76",INSTITUTO EDUCATIVO      
2021-01-18,2020-07-31,54001500000,208,COCHERA                  
2021-01-18,2020-10-23,43800100001,"332,98",REFORMA INTERNA          
2021-01-18,2020-10-27,4901000000,"122,7",REG Y AMPL VIVIENDA      
2021-01-19,2020-06-4, 01116D00600000  ,"330,54",REG VIVIENDA             
2021-01-19,2020-10-6,28401900000,"206,9",REG VIVIENDA             
2021-01-20,2020-11-5, 00119D01600000  ,"294,45",10M2  POR UNICA VEZ      
2021-01-21,2020-09-14,38701100000,"149,45",REG VIVIENDA             
2021-01-22,2020-09-15,80204900000,"167,93",CONS VIVIENDA            
2021-01-22,2020-10-28,58302200000,"121,61",REG AMP VIVIENDA         
2021-01-22,2020-11-16, 00146C00900000  ,"143,98",REG VIVIENDA             
2021-01-22,  /  /  ,29302200000,"299,34",CONS VIVIENDA COLECTIVA  
2021-01-25,2020-08-4,121901100000,"91,39",REG AMP VIVIENDA         
2021-01-26,2019-03-29,40202700000,"92,73",REG AMP VIVIENDA         
2021-01-26,2020-08-19,53801800000,"414,73",REG AMP VIVIENDA         
2021-01-26,2020-09-3,90000200000,"55,22",REG VIVIENDA             
2021-01-26,2020-09-14,33102800000,"267,85",REG AMP VIVIENDA         
2021-01-26,2020-09-29,101102200000,"73,88",CONS VIVIENDA            
2021-01-26,2020-10-22,69200900000,"197,16",REG VIVIENDA             
2021-01-26,2020-11-3, 00931D00100000  ,"151,74",REGUL PILETA             
2021-01-27,2020-10-6,38400400000,"496,48",CONS. AMP VIVIENDA       
2021-01-27,2020-10-7,71602500000,"182,69",REG AMP VIVIENDA         
2021-01-27,2020-10-22,90802000000,"348,77",CONS VIVIENDA            
2021-01-27,2020-10-28,45000500000,"198,5",REG VIVIENDA             
2021-01-27,2020-10-30,70301000000,"227,71",REG VIVIENDA             
2021-01-28,2020-07-28,40201300000,0,DEMOLICION TOTAL         
2021-01-28,2020-09-1,40100200000,"196,2",COCHERAS                 
2021-01-28,2020-10-20, 01117C00500000  ,"297,07",CONS VIVIENDA            
2021-01-28,2020-10-22, 01261G01600000  ,"299,74",CONS VIVIENDA            
2021-01-28,2020-11-16,9100100000,"142,86",CONS VIVIENDA            
2021-01-28,2020-11-16,9102800000,"131,98",CONS VIVIENDA            
2021-01-28,2020-11-24,90000800000,"113,82",CONS. AMP VIVIENDA       
2021-01-28,2020-12-14,46600700000,"148,48",REG VIVIENDA             
2021-01-29,2020-02-26,60202000000,"419,97",REGULARIZACION           
2021-01-29,2020-10-22,127101800000,"271,91",CONS VIVIENDA            
2021-01-29,2020-11-30,122501200000,"99,4",CONS VIVIENDA            
2021-02-1,2018-12-19,89400200000,"232,74",REG VIVIENDA             
2021-02-1,2020-08-25,70301900000,"201,34",REG AMP VIVIENDA         
2021-02-1,2020-10-7, 00103D00600000  ,"125,42",CONS VIVIENDA            
2021-02-2,2020-07-6, P1001400100000  ,"1498,44",REG VIVIENDA             
2021-02-2,2020-10-1,38701000000,"320,82",REG VIVIENDA             
2021-02-2,2020-10-27, 00930I00100000  ,"267,8",CONS VIVIENDA            
2021-02-2,2020-12-3,57702200000,"302,65",CONFORME A OBRA          
2021-02-3,2018-04-11,62102400000,"255,14",REG VIVIENDA             
2021-02-3,2020-06-2,41701400000,"3599,35",REG AMPLIACION           
2021-02-3,2020-11-13,45301400000,"158,13",CONS. AMP VIVIENDA       
2021-02-3,2020-11-13,4901200000,"84,57",CONS VIVIENDA            
2021-02-3,2020-12-10,71301900000,"204,57",CONS VIVIENDA            
2021-02-4,2019-08-7, 00558B00400000  ,"896,61",REG OFICINAS             
2021-02-4,2020-08-6,36201700000,"545,69",CONFORME A OBRA          
2021-02-4,2020-09-14,84502200000,"414,15",PISCINA                  
2021-02-4,2020-11-24,46600800000,"302,32",CONFORME A OBRA          
2021-02-5,2020-06-29,39000900000,"91,01",REG VIVIENDA             
2021-02-5,2020-09-2,72800100000,"155,08",REG VIVIENDA             
2021-02-5,2020-09-18,48001900000,"126,6",REG VIVIENDA             
2021-02-5,2020-10-26,39200900000,"98,37",REG VIVIENDA             
2021-02-5,2021-01-13,54602200000,"180,64",10M2  POR UNICA VEZ      
2021-02-8,2020-09-3, 00931D00800000  ,"147,09",REG.PISCINA              
2021-02-8,2020-10-7,50000400000,"211,63",10M2  POR UNICA VEZ      
2021-02-8,2020-12-9, 00089B00400000  ,"88,47",CONS VIVIENDA            
2021-02-9,2020-07-13, 00931E00200000  ,"246,91",VIVIENDA 1-2-3           
2021-02-9,2020-11-12,120900900000,"120,67",CONS VIVIENDA            
2021-02-9,2020-11-12,5502500000,"122,33",AMP VIVIENDA             
2021-02-9,2020-12-9,68801700000,"130,9",CONS. AMP VIVIENDA       
2021-02-10,2020-09-30,20002600000,220,CONS DEPOSITO            
2021-02-10,2020-11-20, 0142A102000000  ,"294,29",REG AMP VIVIENDA         
2021-02-11,2020-07-15, 00747S02200000  ,"237,92",REG VIVIENDA             
2021-02-11,2020-11-18,127602300000,"298,55",CONS VIVIENDA            
2021-02-11,2020-11-26,7601600000,"43,2",QUINCHO                  
2021-02-11,2020-12-14, 00486A00700000  ,"208,88",REG VIVIENDA             
2021-02-12,2020-09-25,61901700000,"187,37",CONS. AMP VIVIENDA       
2021-02-12,2020-10-6,41801900000,"669,13",REGULARIZACION           
2021-02-12,2020-10-21,127002900000,"270,98",REG AMP VIVIENDA         
2021-02-12,2020-10-23,41300900000,"157,8",REG VIVIENDA             
2021-02-12,2020-11-12, 00931T00500000  ,"106,47",CONS VIVIENDA            
2021-02-12,2020-12-9, 00240A01100000  ,"134,9",AMP VIVIENDA             
2021-02-15,2020-12-10,17402400000,"226,16",CONS. AMP VIVIENDA       
2021-02-17,2018-08-31,104402300000,"260,29",REG VIVIENDA             
2021-02-17,2020-06-8,50101700000,"148,68",AMP VIVIENDA             
2021-02-17,2020-11-18,93305400000,"194,07",CONS. AMP VIVIENDA       
2021-02-18,2020-12-17, 00833H00800000  ,"164,77",REG VIVIENDA             
2021-02-19,2020-01-15,112500900000,"202,81",REG VIVIENDA             
2021-02-22,2020-09-7,106900500000,"123,72",REG VIVIENDA             
2021-02-22,2020-10-13, 00463B00500000  ,"149,07",CONS. AMP VIVIENDA       
2021-02-22,2020-10-31,16701800000,"124,6",REG AMP VIVIENDA         
2021-02-22,2020-11-5, 00177B01000000  ,"116,68",CONS. AMP VIVIENDA       
2021-02-22,2020-11-19, 00320A00700000  ,"103,01",REG VIVIENDA             
2021-02-22,2021-01-25, 00188C02400000  ,"145,9",CONFORME A OBRA          
2021-02-23,2020-01-31,31600600000,"110,13",REG VIVIENDA             
2021-02-23,2020-10-29,53800400000,"200,81",REG AMP VIVIENDA         
2021-02-23,2020-12-2,58002300000,"266,61",CONS. AMP VIVIENDA       
2021-02-24,2019-02-26,35902800000,"297,99",CONFORME A OBRA          
2021-02-24,2020-09-4,36403100000,"229,81",REG AMP VIVIENDA         
2021-02-24,2020-10-19,103100100000,"255,66",DEMOLICION DEPOSITO      
2021-02-24,2020-11-13,89603200000,"153,98",REG AMP VIVIENDA         
2021-02-24,  /  /  ,35902800000,0,                         
2021-02-25,2020-07-31,24100500000,"107,13",CONS. AMP VIVIENDA       
2021-02-25,2020-08-31,3600300000,"179,26",REG VIVIENDA             
2021-02-25,2020-09-16,52700100000,"284,9",DEMOLICION PARCIAL       
2021-02-25,2020-10-5, 01117E00700000  ,"354,42",REG AMP VIVIENDA         
2021-02-25,2020-10-31,9200400000,"184,38",CONS DEPOSITO            
2021-02-25,2020-11-13,5600700000,"111,56",CONS VIVIENDA            
2021-02-25,2020-11-30, 00147A01200000  ,"200,61",AMP VIVIENDA             
2021-02-26,2020-07-21,45402200000,"194,7",AMP VIVIENDA             
2021-02-26,2020-09-15, 01261B02100000  ,"433,25",CONS. AMP VIVIENDA       
2021-02-26,2020-11-24,84601900000,"146,46",REG VIVIENDA             
2021-02-26,2020-12-15,68701600000,"144,3",REGULARIZACION           
2021-02-26,2020-12-17,56502000000,"84,11",REG VIVIENDA             
2021-02-26,2021-01-5, 01073A01300000  ,"110,35",REG Y AMPL VIVIENDA      
2021-03-1,2019-11-21, 00931E01000000  ,"299,01",CONS VIVIENDA            
2021-03-1,2020-07-24,36700400000,"239,17",LOCAL COMER VIV          
2021-03-1,2020-12-2, 0082A300800000  ,91,REG VIVIENDA             
2021-03-1,2020-12-22,6101900000,"170,64",CONS VIVIENDA            
2021-03-2,2018-12-28,33401700000,"256,63",REG AMP VIVIENDA         
2021-03-2,2019-02-21,55703500000,"650,4",PROPIEDAD HORIZONTAL     
2021-03-2,2020-01-29,91500600000,"105,47",CONS VIVIENDA            
2021-03-2,2020-11-2,52801000000,"309,96",VIVIENDA                 
2021-03-3,2020-08-19,42901600000,"666,02",                         
2021-03-3,2020-10-19,35102200000,"144,97",AMP VIVIENDA             
2021-03-3,2020-10-23,111601500000,"233,62",REG AMP VIVIENDA         
2021-03-3,2020-11-26,35700700000,"343,19",REG VIVIENDA             
2021-03-3,2021-02-1, 00243B02100000  ,"159,94",TALLER                   
2021-03-4,2020-11-11,127700300000,"289,62",CONS. AMP VIVIENDA       
2021-03-5,2020-12-18,91401200000,"60,56",QUINCHO-BANO             
2021-03-5,2020-12-22, 01072F00800000  ,"95,87",REG VIVIENDA             
2021-03-9,2020-07-13,41302300001,"218,18",DEMOLICION PARCIAL       
2021-03-9,2020-10-19, 0142A200600000  ,"127,29",VIVIENDA                 
2021-03-9,2020-12-2, 00833E01200000  ,"99,9",CONS VIVIENDA            
2021-03-9,2020-12-3, 00953J00600000  ,"180,69",AMP VIVIENDA             
2021-03-9,2020-12-4, 00793B01900000  ,"118,66",CONS. AMP VIVIENDA       
2021-03-9,2020-12-29,21903000000,"251,03",REG VIVIENDA             
2021-03-10,2020-06-23, 00147C02300000  ,"195,46",REG AMP VIVIENDA         
2021-03-10,2020-08-11, 00955A01300000  ,"89,46",REG VIVIENDA             
2021-03-10,2020-09-15, 00674A01000000  ,"205,61",CONS. AMP VIVIENDA       
2021-03-10,2020-10-7,25801600000,"206,45",REG AMP VIVIENDA         
2021-03-10,2020-11-12,65900800000,"492,34",REG Y AMPL VIVIENDA      
2021-03-10,2020-12-15,107100900000,"185,12",VIVIENDA                 
2021-03-11,2020-09-25,2202400000,"65,7",VIVIENDA                 
2021-03-11,2020-10-5, 0148E100600000  ,"282,06",DEMOLICION PARCIAL       
2021-03-11,2020-11-13,104400400000,"179,14",QUINCHO                  
2021-03-11,2020-11-18,66000300000,"205,76",REG.AMP.LOCAL COMERCIAL  
2021-03-11,2020-12-3,69201700000,"482,15",CONS PISCINA             
2021-03-11,2020-12-17,127202800000,"139,72",VIVIENDA                 
2021-03-11,2020-12-30,18501200000,"60,11",CONS. AMP VIVIENDA       
2021-03-11,2021-01-5,38402500000,"300,41",VIVIENDA                 
2021-03-11,2021-01-19, 00747E00600000  ,"44,18",CONS VIVIENDA            
2021-03-11,  /  /  , 00188C02400000  ,"145,9",RELEVAMIENTO             
2021-03-12,2020-09-2,31401800000,"436,7",LOCAL COMERCIAL          
2021-03-12,2020-11-19,110101000000,"257,89",CONS VIVIENDA            
2021-03-15,2018-09-26,52501800000,"1486,32",REG DEPOSITO             
2021-03-15,2019-12-5,35702200000,"118,69",REG VIVIENDA             
2021-03-15,2020-08-25,71400600000,"297,74",LOCAL PARA RENTAR        
2021-03-15,2020-09-16,93201400000,"139,37",CONS VIVIENDA            
2021-03-15,2020-12-22,108801600000,"94,58",REG VIVIENDA             
2021-03-15,2021-01-5, 00953F01600000  ,"168,26",VIVIENDA                 
2021-03-15,2021-01-28, 00908C00800000  ,"77,71",CONS VIVIENDA            
2021-03-16,2020-12-9,58401900000,"125,4",VIVIENDA                 
2021-03-16,2020-12-16, 00908E00600000  ,"274,68",CONS VIVIENDA            
2021-03-16,2020-12-22,15501200000,117,VIVIENDA                 
2021-03-16,2020-12-30,18301000000,"161,24",AMP VIVIENDA             
2021-03-19,2014-09-26, 00931K00400000  ,"149,72",VIVIENDA                 
2021-03-19,2019-01-25,5100300000,"223,12",CONS DEPOSITO            
2021-03-19,2020-10-27,21601400000,"286,25",REG AMP VIVIENDA         
2021-03-19,2020-12-3,33801600000,"290,84",CONFORME A OBRA          
2021-03-19,2020-12-15,61801100000,"223,6",VIVIENDA                 
2021-03-19,2020-12-19,34401700000,"595,18",CONS. AMP VIVIENDA       
2021-03-19,2021-01-29,65001500000,"299,92",VIVIENDA                 
2021-03-19,2021-02-8,75300900000,"127,86",DEMOLICION PARCIAL       
2021-03-19,  /  /  ,86500600000,"176,93",VIVIENDA                 
2021-03-22,2020-10-22,93304200000,"119,71",CONS VIVIENDA            
2021-03-23,2020-09-28, 00931G00700000  ,"223,6",REG AMP VIVIENDA         
2021-03-23,2020-11-2,19100300000,"154,97",AMP VIVIENDA             
2021-03-23,2020-12-4, 01073L00900000  ,"139,45",REG LOCAL COMERCIAL      
2021-03-23,2020-12-16, 0142A500800000  ,"157,57",CONS. AMP VIVIENDA       
2021-03-23,2021-01-22, 00163C01900000  ,"184,79",REG DEPOSITO             
2021-03-25,2021-02-9, 00551A00600000  ,"299,13",10M2  POR UNICA VEZ      
2021-03-25,2021-02-11,44103600000,0,DEMOLICION TOTAL         
2021-03-26,2020-07-7,26600300000,"941,07",REGULARIZACION           
2021-03-26,2020-07-8,26602400000,"1307,11",LOCAL-DEPOSITO           
2021-03-26,2020-11-18, 00953D01500000  ,"107,76",CONS VIVIENDA            
2021-03-26,2020-12-30,54601200000,"123,69",REG VIVIENDA             
2021-03-26,2021-02-4, 00120F00900000  ,"91,63",REG LOCAL COMERCIAL      
2021-03-26,2021-02-17, 00789A02100000  ,"70,53",REG VIVIENDA             
2021-03-29,2020-08-4, P0401002600000  ,"2867,75",VIVIENDA                 
2021-03-29,2020-08-18,58302900001,"148,13",AMPLIAC.A REGUL          
2021-03-29,2020-10-15,68502100000,"61,85",VIVIENDA                 
2021-03-29,2020-10-22,34502200000,"238,63",CONFORME A OBRA          
2021-03-29,2020-11-11,19200500000,"144,73",CONS DEPOSITO            
