presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2023-01-2,2022-11-14,34302700000,"156,35",VIVIENDA                 
2023-01-2,2022-12-5, 00188A01400000  ,"92,26",VIVIENDA                 
2023-01-3,2022-09-8,72502000000,"114,07",VIVIENDA                 
2023-01-4,2002-03-18,12301500000,"139,7",VIVIENDA                 
2023-01-4,2015-05-29,9600500000,"105,23",VIVIENDA 1 Y 2           
2023-01-4,2021-04-12, P1302500900000  ,0,                         
2023-01-4,2022-06-6, 00120E02300000  ,"150,57",VIVIENDA                 
2023-01-4,2022-10-20,39800400000,"214,9",VIVIENDA                 
2023-01-4,2022-11-28,125701800000,"250,18",VIVIENDA                 
2023-01-4,2022-12-26,93302900000,"124,73",VIVIENDA                 
2023-01-5,2022-07-15, P0900600500000  ,"446,56",VIVIENDA                 
2023-01-5,2022-10-17,65003500000,"115,87",VIVIENDA                 
2023-01-5,2022-11-11,90002500000,"84,45",CONS VIVIENDA            
2023-01-6,2022-09-29,73101600000,"680,89",DEPOSITO                 
2023-01-6,2022-09-30, 00188A00200000  ,"100,34",10M2  POR UNICA VEZ      
2023-01-6,2022-10-14,20300200000,"453,62",TALLER METALURGICO       
2023-01-6,2022-10-17,39002700001,"317,15",DEMOLICION PARCIAL       
2023-01-6,2022-10-20,60103000000,"403,59",SALON CCIAL-VIV.         
2023-01-6,2022-11-24, 00931Q00800000  ,"647,78",LOCAL COMERCIAL          
2023-01-9,2022-09-1, 00931O02500000  ,"64,5",VIVIENDA                 
2023-01-9,2022-10-17,9702100000,"79,08",REG ALERO                
2023-01-9,2022-11-25,15300900000,"332,54",CAMBIO DE USOS           
2023-01-9,2023-01-9, 00806B02400000  ,40,VIVIENDA                 
2023-01-10,2022-09-20,104202700000,"154,82",VIVIENDA                 
2023-01-10,2022-10-20, 01116D00900000  ,"172,83",VIVIENDA                 
2023-01-10,2022-10-20,55600900000,"272,49",SALON COMERCIAL          
2023-01-10,2022-11-17, 00081A03500000  ,"81,46",VIVIENDA                 
2023-01-10,2022-11-30,14402200000,"286,42",REG ALERO                
2023-01-10,2022-12-1, 00808B01700000  ,"61,98",CONS VIVIENDA            
2023-01-11,2022-08-2, 01261F01700000  ,"406,37",VIVIENDA                 
2023-01-11,2022-08-29,72702200000,"664,44",REG VIVIENDA             
2023-01-11,2022-09-20, 00240B00100000  ,"290,18",VIVIENDA                 
2023-01-11,2022-09-27,120600500000,"602,3",DEPOSITO COMERCIAL       
2023-01-11,2022-09-30,53700300000,"210,56",VIVIENDA 1 Y 2           
2023-01-11,2022-11-25, 00469A02200000  ,"357,55",VIVIENDA                 
2023-01-11,2022-11-29,95900100000,"132,33",VIVIENDA                 
2023-01-12,2021-02-2,64601300000,"176,77",DEMOLICION PARCIAL       
2023-01-12,2022-09-29,29801600000,"336,69",LIBRERIA-VIVIENDA        
2023-01-12,2022-10-19,22001900000,"252,33",SALON COMERCIAL          
2023-01-12,2022-10-31, 00953K02400000  ,"220,21",REG ALERO                
2023-01-12,2022-11-4, 00747G03000000  ,"227,03",VIVIENDA                 
2023-01-13,2021-08-23,45502000000,"247,52",REG VIVIENDA             
2023-01-13,2022-09-8,41601100000,"605,21",SALON COMERCIAL          
2023-01-13,2022-10-24,35800600000,"360,99",REG VIVIENDA             
2023-01-13,2022-12-5,40203100001,"165,77",VIVIENDA                 
2023-01-13,2023-01-13, 00909G00300000  ,40,PLANO MUNICIPAL          
2023-01-16,2021-11-3,121100400000,"276,73",REG.PISCINA              
2023-01-17,2022-09-20,104500900000,"505,57",DEPOSITO DE MADERAS      
2023-01-17,2022-09-30,26402600000,"167,66",CONFORME A OBRA          
2023-01-17,2022-10-20,42702700000,"675,62",CENTRO REHAB. NEUROLOGICA
2023-01-17,2022-10-24, 00953N01900000  ,"139,26",REG AMP VIVIENDA         
2023-01-17,2022-11-11,75000300000,"215,3",VIVIENDA                 
2023-01-17,2022-12-14,44903400000,"352,99",CONS PISCINA             
2023-01-18,2022-08-18,27801000000,0,DEMOLICION TOTAL         
2023-01-18,2022-09-8,9701900000,"174,62",REG VIVIENDA             
2023-01-18,2022-09-22,121600100000,"230,48",CONS VIVIENDA            
2023-01-18,2022-11-4,26402100000,"274,25",SALON CCIAL.-DEP.        
2023-01-18,2022-11-4, 00548D00300000  ,"109,93",VIVIENDA                 
2023-01-18,2022-12-12,71401000000,"162,22",CONS LOCALES COM         
2023-01-18,2023-01-18, C070220850CB00  ,"3,12",DEPOSITO FUNERARIO       
2023-01-19,2022-09-8, 00251A03400000  ,"170,9",LOCAL COMER VIV          
2023-01-19,2022-10-20,54301100000,"157,69",DEMOLICION PARCIAL       
2023-01-19,2022-11-17, 00986A00500000  ,"162,33",CONS VIVIENDA            
2023-01-19,2022-12-16, 00986A01700000  ,"106,69",VIVIENDA                 
2023-01-19,2023-01-19, 00933G00500000  ,"169,26",VIVIENDA                 
2023-01-20,2022-11-14,101900500000,"253,6",REGULARIZACION           
2023-01-23,2002-12-30, 00747W01400000  ,"114,27",REG VIVIENDA             
2023-01-23,2022-08-2,44000100000,"3812,36",CLUB                     
2023-01-23,2022-11-8, 00930D00200000  ,"371,24",VIVIENDA                 
2023-01-23,2023-01-23,9701500000,"207,38",REG VIVIENDA             
2023-01-24,2022-11-22,51801200000,"142,13",CONS ALERO               
2023-01-24,2022-12-7,127302700000,0,DEMOLICION TOTAL         
2023-01-25,2022-09-27,21701300000,"1069,11",REG LOCAL COMERCIAL      
2023-01-25,2022-11-16, 00077C01100000  ,"127,36",CONS VIVIENDA            
2023-01-25,2022-11-30, 00806E01100000  ,"206,43",CONS VIVIENDA            
2023-01-25,2022-11-30, 00953G00900000  ,"297,54",REG VIVIENDA             
2023-01-26,2022-12-7, 00801C00500000  ,"108,62",REG VIVIENDA             
2023-01-27,2022-01-26, 01261D00600000  ,"340,67",REG VIVIENDA             
2023-01-27,2022-08-11, 00465A01500001  ,"174,71",REG VIVIENDA             
2023-01-27,2022-11-3, P1302300800000  ,"832,41",REG GALPON               
2023-01-27,2022-11-9,60701700000,"150,97",REG ALERO                
2023-01-27,2022-11-18,75700800000,"108,4",REG VIVIENDA             
2023-01-27,2022-12-2,30802800000,"188,52",BAULERA                  
2023-01-30,2022-08-25, 00933C00400000  ,"137,38",VIVIENDA                 
2023-01-30,2022-09-29,47401500000,"134,68",REFORMA INTERNA          
2023-01-30,2022-10-20,40200900000,"96,72",DEMOLICION PARCIAL       
2023-01-31,2022-05-20,59203200000,"1260,02",DEMOLICION PARCIAL       
2023-01-31,2022-09-26,80902800000,"87,39",VIVIENDA                 
2023-01-31,2022-09-30,32900400000,"228,1",10M2  POR UNICA VEZ      
2023-01-31,2022-11-2,46402500000,"174,41",VIVIENDA                 
2023-02-1,2021-12-14,95100900000,"154,09",VIVIENDA                 
