presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2024-01-2,2023-08-29, 00103A01300000  ,"232,74",VIVIENDA                 
2024-01-3,2023-11-3,45602900000,"420,43",CONFORME A OBRA          
2024-01-3,2023-11-27,32503300000,"93,59",VIVIENDA                 
2024-01-4,2023-09-25, 00801E00400000  ,"175,17",VIVIENDA                 
2024-01-5,2023-04-17,25401900000,"265,07",VIVIENDA                 
2024-01-5,2023-10-30, 00486A00200000  ,"109,86",VIVIENDA                 
2024-01-5,2023-11-21, 00674A01500000  ,"149,4",VIVIENDA                 
2024-01-8,2023-08-17, P1301100300000  ,"359,67",REG VIVIENDA             
2024-01-8,2023-11-9,126801000000,"224,92",CONS DEPOSITO FAMILIAR   
2024-01-8,2023-11-16,5502400000,"75,6",REFORMAS INTERNAS        
2024-01-8,2023-11-16,5502300000,"75,43",REFORMAS INTERNAS        
2024-01-9,2023-10-31, 00102B02400000  ,"276,68",REG LOCAL COMERCIAL      
2024-01-10,2023-07-10,16500600000,"122,34",DEMOLICION PARCIAL       
2024-01-10,2023-10-6,2103400000,"405,99",REG DEPOSITO             
2024-01-10,2023-11-17, 00245B02000000  ,"308,34",REG ALERO                
2024-01-10,2023-11-17,13200300000,"135,84",REG VIVIENDA             
2024-01-11,2021-04-14,39500100000,"9686,57",CONS DEPARTAMENTOS       
2024-01-11,2023-08-2,9801500000,"175,78",REG VIVIENDA             
2024-01-11,2023-10-30, 00558B03000000  ,"205,26",REG AMP VIVIENDA         
2024-01-11,2023-11-29,55200300000,"119,5",REG AMP VIVIENDA         
2024-01-12,2002-12-30,30500200000,0,DEMOLICION TOTAL         
2024-01-12,2023-02-28, 00146B02900000  ,214,REG COCHERAS             
2024-01-12,2023-11-2,42401500000,"683,29",REG LOCAL COMERCIAL      
2024-01-12,2023-11-6, 00804B02000000  ,"61,78",CONS VIVIENDA            
2024-01-12,2023-11-16, 00931O01400000  ,"47,4",CONS VIVIENDA            
2024-01-15,2023-11-29,103500700000,0,DEMOLICION TOTAL         
2024-01-17,2023-10-6,121101700000,"244,82",CONS. AMP VIVIENDA       
2024-01-17,2023-11-1,51800400000,"128,72",VIVIENDA                 
2024-01-17,2024-01-17, 00986A03400000  ,"39,47",PLANO MUNICIPAL          
2024-01-18,2021-02-12,18603400000,"403,75",REG DEPOSITO             
2024-01-18,2023-11-21, 00931O02700000  ,"72,36",VIVIENDA                 
2024-01-19,2023-02-23, 00145C00400000  ,"379,36",REG VIVIENDA             
2024-01-19,2023-10-30,60802100000,"140,37",                         
2024-01-19,2023-11-13, 01117A00700000  ,"298,9",VIVIENDA                 
2024-01-19,2023-11-30,38701800000,"127,42",CONFORME A OBRA          
2024-01-22,2023-12-1, 01072E00100000  ,"175,63",VIVIENDAS UNIFAMILIARES  
2024-01-22,2024-01-22, 00804C03800000  ,40,CONS VIVIENDA            
2024-01-23,2023-07-4,2900900000,"200,09",CONS ALERO               
2024-01-23,2023-10-2, 0082CH01600000  ,"151,99",REG VIVIENDA             
2024-01-23,2023-11-2, 00089A00900000  ,"153,26",LOCAL COMERCIAL          
2024-01-23,2023-12-1, 00102B02500000  ,"99,28",REG ALERO                
2024-01-23,2023-12-1, 00470A01600000  ,"271,34",VIVIENDA                 
2024-01-24,2023-10-9, 01019D01000000  ,"73,16",QUINCHO                  
2024-01-24,2023-10-26,53701100000,"168,78",REG VIVIENDA             
2024-01-25,2023-10-17,19002200000,325,VIVIENDA                 
2024-01-25,2023-12-4, 01261H01000000  ,"242,07",VIVIENDA                 
2024-01-26,2022-10-31,127501100000,"157,19",VIVIENDA                 
2024-01-26,2023-05-30,93201500000,"327,81",VIVIENDAS UNIFAMILIARES  
2024-01-26,2023-11-17, 00177B01000000  ,"179,5",VIVIENDAS UNIFAMILIARES  
2024-01-26,2023-12-18,58701900000,"165,26",VIVIENDA                 
2024-01-26,2023-12-19, 00798A01200000  ,145,                         
2024-01-29,2023-02-7,16301800000,"151,52",SALON-VIVIENDA           
2024-01-29,2023-09-15,34802700000,"204,01",REG ALERO                
2024-01-29,2023-11-7,50300800000,"218,55",CONS. AMP VIVIENDA       
2024-01-29,2023-12-11,104600100000,"260,33",REG VIVIENDA             
2024-01-30,2023-09-1,72203000000,"51,66",REGULARIZAR              
2024-01-30,2023-11-1, 0809F100100000  ,"100,29",CONS VIVIENDA            
2024-01-30,2023-11-6, 00548B00800000  ,"138,02",CONSULTORIO              
2024-01-30,2023-11-14,22701100000,"185,74",REG QUINCHO              
2024-01-30,2023-12-11, 00804E00900000  ,"207,92",CONS VIVIENDA            
2024-01-31,2023-08-1,122601300000,"103,1",CONS. AMP VIVIENDA       
2024-01-31,2023-09-20, 00909C00500000  ,"246,11",CONS VIVIENDA            
2024-01-31,2023-11-3,49001500000,"253,07",VIVIENDA                 
2024-01-31,2023-12-13,42703000000,"93,65",CONS.SALON COMERCIAL     
2024-01-31,2023-12-15, 0747G100500000  ,"113,21",VIVIENDA                 
2024-02-1,2023-03-6, 00931E00900000  ,"133,72",CONS VIVIENDA            
2024-02-2,2023-08-22,71400100000,"256,7",REG VIVIENDA             
2024-02-2,2023-12-14, 00486A03100000  ,"90,51",REG.PISCINA              
2024-02-5,2023-11-17,42500200000,"246,99",VIVIENDA                 
2024-02-6,2023-05-4, 00104C03000000  ,"675,04",REG DEPOSITO             
2024-02-6,2023-08-29,65801000000,"374,3",VIVIENDA                 
2024-02-6,2023-11-29, 00244A01500000  ,"108,69",CONS VIVIENDA            
2024-02-6,2023-12-11, 00143B02200000  ,"147,09",REG VIVIENDA             
2024-02-6,2023-12-11,36501300000,"193,06",CONS ALERO               
2024-02-6,2023-12-11, 00955C00900000  ,150,CONS DEPOSITO            
2024-02-6,2023-12-18,94800600000,"181,13",VIVIENDA                 
2024-02-6,2024-02-6, 00804E02300000  ,40,CONS VIVIENDA            
2024-02-6,  /  /  , 00804E01100000  ,40,VIVIENDA                 
2024-02-7,2023-12-18,28903400000,"784,83",CONS ENTREPISO           
2024-02-7,2023-12-19, 00548A01400000  ,"361,97",DEMOLICION PARCIAL       
2024-02-7,2024-02-7,81002400000,40,CONS VIVIENDA            
2024-02-7,2024-02-7,81002000000,40,VIVIENDA                 
2024-02-8,2023-12-26,93703300000,"181,88",CONS. AMP VIVIENDA       
2024-02-8,2024-02-8,81001900000,40,CONS VIVIENDA            
2024-02-8,2024-02-8, 00804E02600000  ,40,CONS VIVIENDA            
2024-02-8,  /  /  ,100301500000,"39,54",PLANO MUNICIPAL          
2024-02-9,2019-12-16, 00444B02500000  ,"407,73",VIVIENDA                 
2024-02-9,2023-09-11,53500100000,0,DEMOLICION TOTAL         
2024-02-9,2024-01-2,75100900000,"145,21",REG VIVIENDA             
2024-02-9,2024-01-8,65902600000,"126,37",VIVIENDA                 
