ingreso,ingreso_scit,tipo
4/1/2022,30/12/2021,Mensura                                 
6/1/2022,2/12/2020,Mensura                                 
11/1/2022,22/12/2021,Mensura                                 
18/1/2022,28/12/2021,Mensura y división  (Reg. prop. horiz.) 
18/1/2022,6/1/2022,Mensura y división  (Reg. prop. horiz.) 
18/1/2022,28/12/2021,Mensura y división  (Reg. prop. horiz.) 
18/1/2022,10/1/2022,Mensura                                 
20/1/2022,27/12/2021,Mensura                                 
20/1/2022,24/4/2021,Mensura                                 
20/1/2022,27/12/2021,Mensura y división  (Reg. prop. horiz.) 
21/1/2022,24/11/2021,Mensura                                 
21/1/2022,24/1/2022,Mensura y división                      
21/1/2022,29/12/2021,Mensura y división                      
21/1/2022,4/3/2022,Mensura                                 
21/1/2022,12/1/2022,Mensura y división  (Reg. prop. horiz.) 
24/1/2022,18/1/2022,Mensura y división                      
24/1/2022,17/1/2022,Mensura y división                      
24/1/2022,17/1/2022,Mensura y división                      
25/1/2022,23/11/2021,Unificacion                             
25/1/2022,14/12/2021,Unificacion                             
25/1/2022,28/5/2021,Mensura y subdivisión                   
27/1/2022,13/12/2021,Mensura y división  (Reg. prop. horiz.) 
31/1/2022,30/12/2021,Mensura                                 
31/1/2022,4/1/2022,Mensura                                 
31/1/2022,24/11/2021,Mensura                                 
2/2/2022,3/1/2022,Mensura                                 
7/2/2022,16/12/2019,Mensura y división                      
21/2/2022,26/2/2016,Mensura                                 
15/2/2022,14/1/2022,Mensura y subdivisión                   
16/2/2022,26/7/2014,Mensura                                 
17/2/2022,1/2/2022,Mensura y subdivisión                   
25/2/2022,11/7/2014,Mensura                                 
25/2/2022,23/2/2022,Mensura                                 
3/3/2022,7/5/2021,Mensura                                 
18/3/2022,16/3/2022,Mensura y división                      
18/3/2022,16/3/2022,Mensura y división                      
18/3/2022,16/3/2022,Mensura y división                      
18/3/2022,8/3/2022,Mensura y subdivisión                   
18/3/2022,27/10/2017,Mensura y subdivisión                   
21/3/2022,17/3/2022,Sub. Regimen propiedad horizontal       
23/3/2022,4/4/2019,Mensura                                 
23/3/2022,17/3/2022,Por remanente y subdivision             
28/3/2022,7/8/2017,Mensura                                 
28/3/2022,14/6/2021,Mensura                                 
28/3/2022,14/3/2019,Mensura                                 
31/3/2022,16/3/2022,Mensura y subdivisión                   
6/4/2022,4/4/2022,Mensura y subdivisión                   
6/4/2022,25/3/2022,Unificacion                             
6/4/2022,4/2/2022,Mensura                                 
12/4/2022,11/4/2022,Mensura y subdivisión                   
"13/4/2022,14/12/2021,""Mensura, unión y subdivisión            """
13/4/2022,30/12/2021,Adquisicion de dominio                  
13/4/2022,2/7/2021,Adquisicion de dominio                  
13/4/2022,25/11/2021,Adquisicion de dominio                  
13/4/2022,19/4/2021,Adquisicion de dominio                  
13/4/2022,21/1/2021,Adquisicion de dominio                  
13/4/2022,11/1/2021,Adquisicion de dominio                  
13/4/2022,25/4/2022,Adquisicion de dominio                  
13/4/2022,11/4/2022,Mensura                                 
19/4/2022,11/4/2022,Mensura y división  (Reg. prop. horiz.) 
20/4/2022,30/4/2021,Mensura                                 
20/4/2022,4/4/2022,Mensura                                 
20/4/2022,11/4/2022,Mensura                                 
22/4/2022,4/4/2022,Mensura                                 
22/4/2022,5/7/2016,Mensura y subdivisión                   
28/4/2022,22/4/2022,Mensura y división                      
2/5/2022,22/4/2022,Mensura y división                      
3/5/2022,4/4/2022,Mensura                                 
4/5/2022,17/3/2022,Mensura                                 
4/5/2022,2/5/2022,Unificacion                             
4/5/2022,5/4/2022,Mensura y subdivisión                   
17/5/2022,14/2/2022,Unificacion                             
19/5/2022,22/4/2022,Mensura y subdivisión                   
19/5/2022,3/2/2021,Mensura                                 
19/5/2022,3/2/2021,Mensura                                 
19/5/2022,20/5/2022,Mensura                                 
19/5/2022,26/2/2021,Mensura                                 
19/5/2022,4/6/2021,Mensura                                 
19/5/2022,10/6/2021,Mensura                                 
19/5/2022,21/9/2021,Mensura                                 
19/5/2022,25/6/2021,Mensura                                 
19/5/2022,9/3/2021,Mensura                                 
19/5/2022,10/11/2021,Mensura                                 
19/5/2022,18/11/2021,Mensura                                 
20/5/2022,17/5/2022,Unificacion                             
22/5/2022,9/5/2022,Mensura y división  (Reg. prop. horiz.) 
20/5/2022,26/4/2022,Mensura y división                      
20/5/2022,7/4/2022,Mensura                                 
26/5/2022,17/5/2022,Mensura                                 
30/5/2022,9/5/2022,Mensura y división  (Reg. prop. horiz.) 
31/5/2022,22/4/2022,Mensura                                 
2/6/2022,13/8/2021,Mensura                                 
2/6/2022,17/5/2022,Unificacion                             
2/6/2022,17/5/2022,Mensura                                 
2/6/2022,23/5/2022,Mensura                                 
6/6/2022,1/6/2022,Mensura                                 
7/6/2022,16/5/2022,Unificacion                             
13/6/2022,31/5/2022,Mensura                                 
15/6/2022,24/2/2022,Mensura                                 
15/6/2022,24/2/2022,Mensura                                 
15/6/2022,24/2/2022,Mensura                                 
16/6/2022,31/5/2022,Mensura y división                      
16/6/2022,20/1/2022,Mensura                                 
16/6/2022,9/6/2022,Mensura                                 
21/6/2022,2/6/2022,Mensura                                 
22/6/2022,10/5/2022,Mensura y subdivisión                   
23/6/2022,4/4/2022,Mensura                                 
27/6/2022,8/6/2022,Mensura                                 
29/6/2022,26/5/2022,Mensura                                 
29/6/2022,24/5/2022,Mensura y subdivisión                   
1/7/2022,28/4/2022,Mensura                                 
1/7/2022,12/1/2022,Mensura y división                      
1/7/2022,16/5/2022,Mensura                                 
1/7/2022,10/6/2022,Mensura                                 
1/7/2022,10/6/2022,Mensura y subdivisión                   
6/7/2022,9/2/2022,Mensura y división  (Reg. prop. horiz.) 
6/7/2022,15/12/2021,Mensura y división  (Reg. prop. horiz.) 
6/7/2022,19/5/2022,Mensura                                 
7/7/2022,1/12/2021,Mensura y división  (Reg. prop. horiz.) 
8/7/2022,24/6/2022,Mensura                                 
8/7/2022,28/8/2017,Estado Preparatorio Usucapion Admin.    
8/7/2022,22/4/2021,Mensura                                 
8/7/2022,12/4/2022,Mensura                                 
8/7/2022,9/5/2022,Mensura                                 
13/7/2022,10/6/2022,Mensura y división                      
13/7/2022,24/6/2022,Mensura y subdivisión                   
13/6/2022,24/6/2022,Mensura                                 
16/6/2022,24/6/2022,Mensura y subdivisión                   
13/7/2022,28/6/2022,Mensura y subdivisión                   
13/7/2022,8/6/2022,Mensura                                 
13/7/2022,27/6/2022,Mensura                                 
15/7/2022,22/6/2022,Mensura y división  (Reg. prop. horiz.) 
15/7/2022,4/7/2022,Mensura                                 
21/7/2022,20/5/2022,Mensura                                 
25/7/2022,11/7/2022,Mensura                                 
29/7/2022,12/7/2022,Mensura                                 
1/8/2022,7/7/2022,Mensura y subdivisión                   
2/8/2022,15/7/2022,Mensura                                 
2/8/2022,12/7/2022,Mensura y subdivisión                   
3/8/2022,3/6/2022,Mensura y división  (Reg. prop. horiz.) 
5/8/2022,14/6/2022,Mensura                                 
