ingreso,ingreso_scit,tipo
10/8/2022,23/5/2022,Mensura y división                      
10/8/2022,12/7/2022,Mensura                                 
16/8/2022,31/1/2019,Mensura                                 
16/8/2022,25/2/2022,Mensura y subdivisión                   
17/8/2022,21/7/2022,Mensura parcial                         
17/8/2022,22/7/2022,Mensura                                 
17/8/2022,15/7/2022,Unificacion                             
18/8/2022,29/7/2022,Mensura                                 
18/8/2022,10/6/2022,Mensura y subdivisión                   
22/8/2022,22/7/2022,Mensura y división                      
25/8/2022,5/8/2022,Mensura                                 
26/8/2022,27/12/2021,Mensura                                 
26/8/2022,22/12/2021,Mensura                                 
29/8/2022,17/12/2020,Mensura                                 
29/8/2022,29/3/2021,Mensura                                 
7/9/2022,5/9/2022,Mensura                                 
7/9/2022,5/8/2022,Mensura                                 
12/9/2022,24/11/2021,Mensura                                 
12/9/2022,6/9/2022,Mensura                                 
12/9/2022,7/9/2022,Mensura                                 
14/9/2022,22/6/2022,Mensura                                 
14/9/2022,16/8/2022,Mensura                                 
"17/9/2022,7/9/2022,""Mensura, unión y subdivisión            """
15/9/2022,17/8/2022,Mensura                                 
15/9/2022,23/8/2022,Estado Preparatorio Usucapion Admin.    
15/9/2022,8/6/2022,Mensura                                 
16/9/2022,9/9/2022,Mensura y división                      
16/9/2022,8/8/2022,Mensura y subdivisión                   
19/9/2022,9/9/2022,Mensura                                 
26/9/2022,9/9/2022,Mensura y subdivisión                   
26/9/2022,26/4/2022,Unificacion                             
27/9/2022,3/6/2022,Mensura                                 
27/9/2022,27/6/2022,Mensura                                 
27/9/2022,3/6/2022,Mensura                                 
27/9/2022,4/4/2022,Mensura                                 
27/9/2022,22/4/2022,Mensura                                 
27/9/2022,17/5/2022,Mensura                                 
27/9/2022,20/5/2022,Mensura                                 
27/9/2022,3/5/2022,Mensura                                 
27/9/2022,26/5/2021,Mensura                                 
27/9/2022,21/9/2021,Mensura                                 
27/9/2022,21/9/2021,Mensura                                 
27/9/2022,1/10/2021,Mensura                                 
27/9/2022,4/10/2021,Mensura                                 
27/9/2022,9/2/2022,Mensura                                 
27/9/2022,22/9/2022,Mensura                                 
27/9/2022,22/9/2022,Mensura y subdivisión                   
27/8/2022,6/9/2022,Mensura                                 
4/10/2022,5/8/2022,Constitucion de Estado Parcelario       
5/10/2022,23/2/2022,Mensura y subdivisión                   
5/10/2022,16/9/2022,Mensura                                 
6/10/2022,30/9/2022,Mensura y división  (Reg. prop. horiz.) 
6/10/2022,30/9/2022,Mensura y división  (Reg. prop. horiz.) 
14/10/2022,28/9/2022,Unificacion                             
14/10/2022,28/9/2022,Mensura y división  (Reg. prop. horiz.) 
14/10/2022,6/5/2022,Mensura y subdivisión                   
14/10/2022,21/7/2022,Mensura y división  (Reg. prop. horiz.) 
19/10/2022,21/3/2022,Mensura                                 
20/10/2022,17/12/2021,Mensura                                 
20/10/2022,23/2/2022,Mensura                                 
20/10/2022,3/9/2021,Mensura                                 
25/10/2022,29/8/2022,Mensura                                 
26/10/2022,22/9/2022,Mensura y subdivisión                   
26/10/2022,30/9/2022,Mensura y división  (Reg. prop. horiz.) 
26/10/2022,4/10/2022,Mensura                                 
27/10/2022,28/9/2022,Mensura                                 
28/10/2022,5/9/2022,Mensura y división  (Reg. prop. horiz.) 
31/10/2022,17/10/2022,Mensura                                 
2/11/2022,13/7/2021,Mensura                                 
2/11/2022,28/11/2013,Mensura                                 
3/11/2022,2/11/2022,Mensura                                 
3/11/2022,17/10/2022,Mensura y división                      
8/11/2022,26/4/2022,Mensura                                 
11/11/2022,31/10/2022,Mensura                                 
11/11/2022,31/10/2022,Mensura y subdivisión                   
11/11/2022,14/9/2022,Mensura y división                      
18/11/2022,7/11/2022,Unificacion                             
24/11/2022,13/9/2022,Mensura                                 
24/11/2022,7/7/2022,Mensura                                 
25/11/2022,10/11/2022,Unificacion                             
28/11/2022,10/11/2022,Mensura y división  (Reg. prop. horiz.) 
1/12/2022,14/11/2022,Mensura y subdivisión                   
6/12/2022,11/12/2017,Mensura y división                      
7/12/2022,18/11/2022,Mensura                                 
7/12/2022,8/11/2022,Mensura                                 
7/12/2022,22/11/2022,Mensura y división  (Reg. prop. horiz.) 
7/12/2022,18/11/2022,Mensura y subdivisión                   
7/12/2022,24/11/2022,Mensura y división  (Reg. prop. horiz.) 
12/12/2022,22/8/2013,Estado Preparatorio Usucapion Admin.    
12/12/2022,25/4/2018,Estado Preparatorio Usucapion Admin.    
13/12/2022,12/5/2021,Mensura                                 
13/12/2022,12/12/2022,Mensura                                 
16/12/2022,12/12/2022,Mensura y división                      
16/12/2022,13/1/2016,Mensura y división  (Reg. prop. horiz.) 
19/12/2022,12/12/2022,Mensura y subdivisión                   
20/12/2022,10/11/2021,Mensura                                 
20/12/2022,21/9/2021,Estado Preparatorio Usucapion Admin.    
27/12/2022,6/6/2014,Mensura                                 
29/12/2022,13/12/2022,Adquisicion de dominio                  
18/8/2022,5/9/2022,Modificación por Catastro               
