ingreso,ingreso_scit,tipo
29/7/2025,12/6/2025,Mensura y división                      
31/7/2025,17/7/2025,Mensura y división  (Reg. prop. horiz.) 
6/8/2025,30/6/2025,Modificacion de Estado Parcelario       
8/8/2025,25/7/2025,Modificacion de Estado Parcelario       
28/7/2025,8/7/2025,Modificacion de Estado Parcelario       
14/8/2025,29/12/2021,Modificacion de Estado Parcelario       
22/8/2025,1/8/2025,Mensura y división  (Reg. prop. horiz.) 
13/8/2025,16/7/2025,Estado Preparatorio Usucapion Judicial  
26/8/2025,11/7/2025,Constitucion de Estado Parcelario       
26/8/2025,20/8/2025,Modificacion de Estado Parcelario       
26/8/2025,20/8/2025,Mensura y división  (Reg. prop. horiz.) 
26/8/2025,27/5/2025,Constitucion de Estado Parcelario       
28/8/2025,8/8/2025,Modificacion de Estado Parcelario       
25/8/2025,3/1/2022,Modificacion de Estado Parcelario       
27/8/2025,25/8/2025,Constitucion de Estado Parcelario       
29/8/2025,25/7/2025,Constitucion de Estado Parcelario       
2/9/2025,22/8/2025,Modificacion de Estado Parcelario       
3/9/2025,2/9/2025,Mensura y subdivisión                   
3/9/2025,20/8/2025,Restitucion Estado Parcelario (REP)     
3/9/2025,20/8/2025,Constitucion de Estado Parcelario       
5/9/2025,17/1/2023,Modificacion de Estado Parcelario       
8/9/2025,11/8/2025,Estado Preparatorio Usucapion Judicial  
8/9/2025,25/8/2025,Mensura y subdivisión                   
8/9/2025,12/8/2025,Constitucion de Estado Parcelario       
9/9/2025,18/8/2025,Estado Preparatorio Usucapion Judicial  
10/9/2025,22/8/2025,Constitucion de Estado Parcelario       
16/9/2025,18/10/2024,Modificacion de Estado Parcelario       
16/9/2025,9/9/2025,Mensura y división  (Reg. prop. horiz.) 
21/9/2025,21/8/2025,Restitucion Estado Parcelario (REP)     
24/9/2025,19/2/2010,Mensura                                 
23/9/2025,13/5/2013,Mensura                                 
22/9/2025,14/11/2024,Constitucion de Estado Parcelario       
23/9/2025,21/8/2025,Restitucion Estado Parcelario (REP)     
23/9/2025,25/8/2025,Constitucion de Estado Parcelario       
24/9/2025,4/9/2025,Mensura y división  (Reg. prop. horiz.) 
26/9/2025,26/3/2025,Mensura y división  (Reg. prop. horiz.) 
2/10/2025,16/9/2025,Modificatoria de PH                     
7/10/2025,23/9/2025,Constitucion de Estado Parcelario       
3/10/2025,29/6/2023,Adquisicion de dominio                  
7/10/2025,2/10/2025,Modificacion de Estado Parcelario       
15/10/2025,23/9/2025,Constitucion de Estado Parcelario       
16/10/2025,13/10/2025,Constitucion de Estado Parcelario       
17/10/2025,8/2/2024,Constitucion de Estado Parcelario       
22/10/2025,29/8/2025,Mensura y división  (Reg. prop. horiz.) 
23/10/2025,20/10/2025,Modificacion de Estado Parcelario       
28/10/2025,5/8/2024,Mensura y división                      
28/10/2025,18/1/2024,Constitucion de Estado Parcelario       
31/10/2025,20/5/2021,Restitucion Estado Parcelario (REP)     
26/9/2025,22/9/2025,Constitucion de Estado Parcelario       
6/11/2025,8/10/2025,Modificacion de Estado Parcelario       
7/11/2025,4/11/2025,Mensura y división                      
12/11/2025,3/11/2025,Mensura y división  (Reg. prop. horiz.) 
12/11/2025,22/2/2021,Modificacion de Estado Parcelario       
17/11/2025,23/10/2025,Mensura y división                      
26/9/2025,8/2/2024,Constitucion de Estado Parcelario       
14/11/2025,23/4/2025,Mensura y subdivisión                   
14/11/2025,21/10/2025,Mensura y división  (Reg. prop. horiz.) 
17/11/2025,29/9/2025,Constitucion de Estado Parcelario       
18/11/2025,11/7/2025,Constitucion de Estado Parcelario       
