ingreso,ingreso_scit,tipo
19/4/2024,4/1/2024,Modificatoria de PH                     
23/4/2024,30/6/2021,Verificacion Estado Parcelario (VEP)    
29/4/2024,9/4/2024,Constitucion de Estado Parcelario       
29/4/2024,8/4/2024,Mensura y división  (Reg. prop. horiz.) 
29/4/2024,6/2/2024,Constitucion de Estado Parcelario       
2/5/2024,13/11/2023,Mensura y división  (Reg. prop. horiz.) 
2/5/2024,6/3/2024,Modificacion de Estado Parcelario       
3/5/2024,28/12/2023,Constitucion de Estado Parcelario       
6/5/2024,18/9/2023,Constitucion de Estado Parcelario       
8/5/2024,17/4/2024,Constitucion de Estado Parcelario       
8/5/2024,22/4/2024,                                        
7/5/2024,31/10/2022,Modificacion de Estado Parcelario       
14/5/2024,23/4/2024,Modificacion de Estado Parcelario       
20/5/2024,30/4/2024,Constitucion de Estado Parcelario       
27/5/2024,16/5/2024,Estado Preparatorio Usucapion Judicial  
21/5/2024,16/5/2024,Mensura y división  (Reg. prop. horiz.) 
27/5/2024,2/5/2024,Constitucion de Estado Parcelario       
28/5/2024,3/3/2019,Estado Preparatorio Usucapion Admin.    
28/5/2024,15/3/2019,Estado Preparatorio Usucapion Admin.    
28/5/2024,9/12/2021,Estado Preparatorio Usucapion Admin.    
28/5/2024,1/9/2021,Estado Preparatorio Usucapion Admin.    
24/5/2024,9/11/2023,Constitucion de Estado Parcelario       
30/5/2024,15/1/2024,Mensura y división  (Reg. prop. horiz.) 
7/6/2024,22/3/2022,Estado Preparatorio Usucapion Admin.    
31/5/2024,6/2/2024,Modificacion de Estado Parcelario       
31/5/2024,9/2/2024,Modificacion de Estado Parcelario       
31/5/2024,15/2/2024,Modificacion de Estado Parcelario       
31/5/2024,15/2/2024,Modificacion de Estado Parcelario       
31/5/2024,15/2/2024,Modificacion de Estado Parcelario       
31/5/2024,23/2/2024,Modificacion de Estado Parcelario       
27/5/2024,20/5/2024,Mensura y división  (Reg. prop. horiz.) 
4/6/2024,28/10/2022,Estado Preparatorio Usucapion Admin.    
4/6/2024,5/9/2022,Modificacion de Estado Parcelario       
4/6/2024,11/6/2024,Estado Preparatorio Usucapion Admin.    
4/6/2024,31/5/2022,Estado Preparatorio Usucapion Admin.    
24/6/2024,4/7/2019,Unificacion                             
4/6/2024,23/9/2022,Estado Preparatorio Usucapion Admin.    
5/6/2024,15/12/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,27/9/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,7/2/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,23/3/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,26/6/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,15/6/2023,Estado Preparatorio Usucapion Admin.    
5/6/2024,20/7/2023,Estado Preparatorio Usucapion Admin.    
7/6/2024,6/7/2023,Estado Preparatorio Usucapion Admin.    
6/6/2024,16/5/2024,Constitucion de Estado Parcelario       
11/6/2024,28/5/2024,Modificacion de Estado Parcelario       
7/6/2024,13/5/2024,Constitucion de Estado Parcelario       
14/6/2024,20/5/2024,Mensura y división  (Reg. prop. horiz.) 
24/6/2024,31/5/2024,Constitucion de Estado Parcelario       
24/6/2024,29/5/2024,Modificacion de Estado Parcelario       
24/6/2024,29/5/2024,Constitucion de Estado Parcelario       
24/6/2024,7/6/2024,Mensura y división  (Reg. prop. horiz.) 
24/6/2024,7/6/2024,Mensura y división  (Reg. prop. horiz.) 
13/6/2024,18/12/2023,Mensura y división  (Reg. prop. horiz.) 
7/6/2024,13/12/2021,Modificacion de Estado Parcelario       
26/6/2024,7/6/2024,Mensura y división  (Reg. prop. horiz.) 
28/6/2024,24/4/2024,Mensura y división  (Reg. prop. horiz.) 
2/7/2024,12/6/2024,Constitucion de Estado Parcelario       
1/7/2024,5/2/2024,Mensura y división  (Reg. prop. horiz.) 
8/7/2024,18/1/2024,Estado Preparatorio Usucapion Admin.    
3/7/2024,1/2/2023,Unificacion                             
8/7/2024,11/3/2015,Mensura                                 
5/7/2024,10/3/2024,Modificacion de Estado Parcelario       
8/7/2024,13/6/2024,Mensura y división  (Reg. prop. horiz.) 
17/7/2024,19/8/2020,Constitucion de Estado Parcelario       
25/7/2024,25/7/2024,Constitucion de Estado Parcelario       
17/7/2024,1/7/2024,Mensura y división  (Reg. prop. horiz.) 
18/7/2024,1/8/2024,Constitucion de Estado Parcelario       
18/7/2024,27/6/2024,Constitucion de Estado Parcelario       
23/7/2024,4/1/2024,Estado Preparatorio Usucapion Judicial  
24/7/2024,30/11/2023,Modificacion de Estado Parcelario       
31/7/2024,1/7/2024,Modificacion de Estado Parcelario       
31/7/2024,25/7/2024,Modificacion de Estado Parcelario       
31/7/2024,28/6/2024,Mensura y división  (Reg. prop. horiz.) 
1/8/2024,1/3/2023,Estado Preparatorio Usucapion Judicial  
5/8/2024,18/7/2024,Mensura y división  (Reg. prop. horiz.) 
8/8/2024,21/3/2023,Constitucion de Estado Parcelario       
8/8/2024,31/7/2024,Mensura y división  (Reg. prop. horiz.) 
31/7/2024,27/6/2024,Modificacion de Estado Parcelario       
15/8/2024,24/5/2024,Modificacion de Estado Parcelario       
19/8/2024,24/7/2024,Constitucion de Estado Parcelario       
31/7/2024,17/7/2024,Modificacion de Estado Parcelario       
22/8/2024,18/7/2024,Constitucion de Estado Parcelario       
3/8/2024,7/5/2024,Constitucion de Estado Parcelario       
22/8/2024,11/7/2024,Constitucion de Estado Parcelario       
23/8/2024,3/10/2017,Mensura                                 
28/8/2024,28/6/2024,Constitucion de Estado Parcelario       
3/9/2024,10/5/2024,Constitucion de Estado Parcelario       
5/9/2024,14/8/2024,Constitucion de Estado Parcelario       
10/9/2024,29/8/2024,Modificacion de Estado Parcelario       
16/9/2024,13/8/2024,Modificacion de Estado Parcelario       
17/9/2024,15/7/2024,Mensura y división  (Reg. prop. horiz.) 
18/9/2024,5/9/2024,Modificacion de Estado Parcelario       
4/9/2024,4/9/2024,Constitucion de Estado Parcelario       
18/9/2024,19/10/2011,Mensura                                 
18/9/2024,7/6/2024,Mensura y división  (Reg. prop. horiz.) 
10/9/2024,22/8/2024,Modificacion de Estado Parcelario       
24/9/2024,9/9/2024,Constitucion de Estado Parcelario       
5/9/2024,18/9/2024,Constitucion de Estado Parcelario       
25/9/2024,5/9/2024,Constitucion de Estado Parcelario       
10/9/2024,22/8/2024,Constitucion de Estado Parcelario       
25/9/2024,6/9/2024,Mensura y división  (Reg. prop. horiz.) 
25/9/2024,27/6/2024,Constitucion de Estado Parcelario       
27/9/2024,17/9/2024,Modificacion de Estado Parcelario       
27/9/2024,24/9/2024,Constitucion de Estado Parcelario       
1/10/2024,22/8/2024,Mensura y división  (Reg. prop. horiz.) 
4/10/2024,16/8/2024,Constitucion de Estado Parcelario       
7/10/2024,9/6/2004,Modificacion de Estado Parcelario       
7/10/2024,8/11/2021,Modificacion de Estado Parcelario       
8/10/2024,26/6/2015,Mensura                                 
21/10/2024,8/10/2024,Modificacion de Estado Parcelario       
28/10/2024,3/10/2024,Constitucion de Estado Parcelario       
8/10/2024,6/3/2024,Constitucion de Estado Parcelario       
7/10/2024,29/8/2024,Modificacion de Estado Parcelario       
28/10/2024,7/3/2024,Constitucion de Estado Parcelario       
30/10/2024,30/10/2024,Constitucion de Estado Parcelario       
31/10/2024,31/10/2024,Constitucion de Estado Parcelario       
4/11/2024,8/10/2024,Constitucion de Estado Parcelario       
31/10/2024,26/9/2024,Mensura y división  (Reg. prop. horiz.) 
4/11/2024,22/10/2024,Modificacion de Estado Parcelario       
1/11/2024,27/2/2020,Estado Preparatorio Usucapion Judicial  
6/11/2024,12/4/2019,Constitucion de Estado Parcelario       
7/11/2024,2/10/2024,Restitucion Estado Parcelario (REP)     
12/11/2024,25/10/2024,Constitucion de Estado Parcelario       
14/11/2024,5/6/2023,Estado Preparatorio Usucapion Admin.    
13/11/2024,18/10/2024,Constitucion de Estado Parcelario       
20/11/2024,4/11/2024,Modificacion de Estado Parcelario       
20/11/2024,14/11/2024,Modificacion de Estado Parcelario       
21/11/2024,24/10/2024,Mensura y división  (Reg. prop. horiz.) 
20/11/2024,16/10/2024,Constitucion de Estado Parcelario       
6/11/2024,24/9/2024,Modificacion de Estado Parcelario       
21/11/2024,21/10/2024,Verificacion Estado Parcelario (VEP)    
26/11/2024,14/11/2024,Constitucion de Estado Parcelario       
2/12/2024,4/11/2024,Mensura y división  (Reg. prop. horiz.) 
3/12/2024,26/11/2024,Mensura y división                      
4/12/2024,25/11/2024,Modificacion de Estado Parcelario       
5/12/2024,17/10/2024,Restitucion Estado Parcelario (REP)     
9/12/2024,17/9/2024,Mensura y división                      
10/12/2024,7/9/2023,Restitucion Estado Parcelario (REP)     
12/12/2024,21/12/2023,Mensura y división                      
19/12/2024,23/12/2024,Mensura y división  (Reg. prop. horiz.) 
12/12/2024,22/11/2024,Constitucion de Estado Parcelario       
12/12/2024,23/3/2023,Constitucion de Estado Parcelario       
24/9/2024,23/12/2024,Mensura y división  (Reg. prop. horiz.) 
28/11/2024,27/12/2024,Constitucion de Estado Parcelario       
28/11/2024,26/12/2024,Constitucion de Estado Parcelario       
16/12/2024,3/1/2025,Constitucion de Estado Parcelario       
20/11/2024,20/12/2023,Constitucion de Estado Parcelario       
27/12/2024,29/8/2024,Mensura y división  (Reg. prop. horiz.) 
5/12/2024,20/1/2025,Mensura y división  (Reg. prop. horiz.) 
11/12/2024,27/12/2024,Mensura y división  (Reg. prop. horiz.) 
