ingreso,ingreso_scit,tipo
13/8/2024,1/1/1967,                                        
16/8/2024,1/1/1965,Mensura y división                      
16/8/2024,1/1/1954,Mensura y subdivisión                   
5/1/2024,7/12/2023,Constitucion de Estado Parcelario       
11/1/2024,28/12/2023,Modificacion de Estado Parcelario       
15/1/2024,5/9/2023,Mensura y división  (Reg. prop. horiz.) 
15/1/2024,21/11/2023,Modificacion de Estado Parcelario       
17/1/2024,14/12/2023,Estado Preparatorio Usucapion Judicial  
17/1/2024,17/11/2023,Modificacion de Estado Parcelario       
17/1/2024,28/8/2023,Mensura y división  (Reg. prop. horiz.) 
19/1/2024,17/11/2023,Estado Preparatorio Usucapion Admin.    
19/1/2024,8/1/2024,Estado Preparatorio Usucapion Admin.    
19/1/2024,8/11/2023,Estado Preparatorio Usucapion Admin.    
19/1/2024,30/11/2023,Estado Preparatorio Usucapion Admin.    
19/1/2024,2/11/2023,Mensura y división  (Reg. prop. horiz.) 
19/1/2024,9/1/2024,Mensura y subdivisión                   
19/1/2024,9/1/2024,Mensura y división                      
23/1/2024,5/1/2024,Mensura y división  (Reg. prop. horiz.) 
22/1/2024,8/1/2024,Modificacion de Estado Parcelario       
24/1/2024,18/1/2024,Modificacion de Estado Parcelario       
31/1/2024,16/5/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
1/2/2024,17/8/2023,Estado Preparatorio Usucapion Admin.    
2/2/2024,13/4/2022,Modificacion de Estado Parcelario       
2/2/2024,20/3/2023,Modificacion de Estado Parcelario       
2/2/2024,17/11/2023,Mensura y división  (Reg. prop. horiz.) 
6/2/2024,22/8/2023,Estado Preparatorio Usucapion Admin.    
6/2/2024,23/8/2023,Estado Preparatorio Usucapion Admin.    
6/2/2024,13/9/2023,Estado Preparatorio Usucapion Admin.    
7/2/2024,23/3/2023,Estado Preparatorio Usucapion Admin.    
16/2/2024,26/1/2024,Constitucion de Estado Parcelario       
16/2/2024,8/1/2024,Modificacion de Estado Parcelario       
16/2/2024,7/12/2023,Modificacion de Estado Parcelario       
16/2/2024,26/1/2024,Constitucion de Estado Parcelario       
23/2/2024,9/2/2024,Verificacion Estado Parcelario (VEP)    
27/2/2024,18/10/2023,Modificacion de Estado Parcelario       
28/2/2024,26/6/2023,Estado Preparatorio Usucapion Admin.    
28/2/2024,20/9/2023,Estado Preparatorio Usucapion Admin.    
25/2/2024,25/9/2023,Estado Preparatorio Usucapion Admin.    
28/2/2024,21/9/2023,Estado Preparatorio Usucapion Admin.    
28/2/2024,5/2/2024,Mensura y división  (Reg. prop. horiz.) 
5/3/2024,5/2/2024,Mensura y división  (Reg. prop. horiz.) 
6/3/2024,27/2/2024,Mensura y división  (Reg. prop. horiz.) 
12/3/2024,22/2/2024,Modificacion de Estado Parcelario       
13/3/2024,11/11/2013,Mensura                                 
18/3/2024,30/3/2023,Constitucion de Estado Parcelario       
18/3/2024,5/3/2024,Constitucion de Estado Parcelario       
20/3/2024,23/2/2024,Mensura y división  (Reg. prop. horiz.) 
3/4/2024,15/1/2024,Estado Preparatorio Usucapion Admin.    
3/4/2024,1/2/2024,Estado Preparatorio Usucapion Admin.    
3/4/2024,7/2/2024,Estado Preparatorio Usucapion Admin.    
3/4/2024,1/3/2024,Estado Preparatorio Usucapion Admin.    
5/4/2024,11/3/2024,Constitucion de Estado Parcelario       
8/4/2024,14/1/2016,Mensura                                 
8/4/2024,29/2/2024,Constitucion de Estado Parcelario       
11/4/2024,8/1/2024,Estado Preparatorio Usucapion Admin.    
11/4/2024,18/9/2023,Modificacion de Estado Parcelario       
16/4/2024,24/8/2023,Mensura y división  (Reg. prop. horiz.) 
16/4/2024,2/1/2024,Constitucion de Estado Parcelario       
16/4/2024,19/2/2024,Modificacion de Estado Parcelario       
17/4/2024,4/1/2024,Estado Preparatorio Usucapion Admin.    
16/4/2024,23/11/2023,Mensura y división  (Reg. prop. horiz.) 
16/4/2024,11/1/2024,Constitucion de Estado Parcelario       
