ingreso,ingreso_scit,tipo
7/1/2020,2/1/2020,Mensura y división                      
8/1/2020,2/12/2019,Mensura y división  (Reg. prop. horiz.) 
8/1/2020,26/11/2019,Mensura y división  (Reg. prop. horiz.) 
9/1/2020,17/12/2019,Mensura                                 
"15/1/2020,22/5/2014,""Mensura, unión y subdivisión            """
23/1/2020,9/1/2020,Adquisicion de dominio                  
28/1/2020,29/11/2019,Mensura                                 
28/1/2020,10/2/2011,Mensura                                 
28/1/2020,16/11/2018,Adquisicion de dominio                  
28/1/2020,26/11/2019,Sub. Regimen propiedad horizontal       
28/1/2020,14/11/2019,Mensura y división  (Reg. prop. horiz.) 
6/2/2020,9/1/2020,Mensura y división  (Reg. prop. horiz.) 
10/2/2020,27/1/2020,Mensura y división  (Reg. prop. horiz.) 
12/2/2020,6/2/2020,Mensura y división  (Reg. prop. horiz.) 
19/2/2020,14/2/2020,Mensura                                 
2/3/2020,12/2/2020,Adquisicion de dominio                  
4/3/2020,2/3/2020,Mensura y división                      
6/3/2020,4/3/2020,Mensura y división                      
6/3/2020,20/2/2020,Adquisicion de dominio                  
11/3/2020,25/10/2019,Mensura                                 
13/3/2020,26/4/2018,Sub. Regimen propiedad horizontal       
13/3/2020,4/11/2019,Sub. Regimen propiedad horizontal       
19/3/2020,26/2/2020,Mensura                                 
18/6/2020,11/4/2020,Mensura y división                      
28/2/2020,27/2/2020,Mensura y división                      
1/6/2020,21/1/2016,Mensura                                 
"5/6/2020,11/5/2020,""Mensura, unión y subdivisión            """
5/6/2020,4/5/2020,Mensura                                 
10/6/2020,30/4/2020,Unificacion                             
10/6/2020,3/3/2020,Mensura y subdivisión                   
28/6/2020,11/2/2019,                                        
31/7/2020,30/6/2020,Mensura y división                      
26/11/2020,26/11/2020,Mensura y división                      
2/9/2020,21/8/2020,Mensura                                 
4/9/2020,12/8/2020,Mensura                                 
4/9/2020,31/8/2020,Mensura                                 
25/9/2020,7/8/2020,Mensura y división                      
29/9/2020,23/10/2020,Mensura                                 
29/9/2020,31/7/2020,Sub. Regimen propiedad horizontal       
29/9/2020,16/4/2019,Mensura                                 
9/10/2020,27/7/2020,Mensura                                 
15/10/2020,8/10/2020,Mensura                                 
15/10/2020,27/12/2019,Mensura                                 
25/10/2020,6/10/2020,Unificacion                             
20/10/2020,5/10/2020,Unificacion                             
28/10/2020,28/9/2020,Mensura                                 
27/10/2020,1/10/2020,Mensura                                 
27/10/2020,1/10/2020,Mensura                                 
27/10/2020,22/10/2020,Mensura y división                      
10/11/2020,22/10/2020,Mensura                                 
11/12/2020,16/10/2020,                                        
11/11/2020,26/10/2020,Mensura                                 
19/11/2020,21/7/2014,Mensura y subdivisión                   
26/11/2020,8/8/2011,Mensura                                 
27/11/2020,20/11/2018,Mensura                                 
11/12/2020,13/5/2010,Mensura                                 
14/12/2020,16/12/2019,Mensura y división  (Reg. prop. horiz.) 
16/12/2020,11/11/2020,Mensura y división  (Reg. prop. horiz.) 
18/12/2020,21/12/2020,Mensura                                 
18/12/2020,17/12/2020,Mensura y división  (Reg. prop. horiz.) 
22/12/2020,18/9/2020,                                        
