presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2025-01-2,2024-09-2,84103000000,"178,49",REGULARIZACION           
2025-01-2,2024-11-6,25605800000,"222,12",DEPOSITO                 
2025-01-3,2024-11-4, 00065I00400000  ,"190,77",REGULARIZAR              
2025-01-3,2024-11-26, 00077C02600000  ,"119,41",VIVIENDA                 
2025-01-6,2024-11-19,44300800000,"102,2",VIVIENDA                 
2025-01-7,2024-10-9,42301200000,"204,85",VIVIENDA                 
2025-01-7,2024-11-5,128000400000,"67,1",VIVIENDA PREFABRICADA    
2025-01-7,2024-11-7,111500100000,0,DEMOLICION TOTAL         
2025-01-7,2024-11-19, 00955B02600000  ,"276,51",VIVIENDA                 
2025-01-7,2024-11-19,28100800000,"212,99",VIVIENDA                 
2025-01-7,2024-12-3,27900500000,"148,44",VIVIENDA                 
2025-01-7,2024-12-17, P0703400100000  ,0,DEMOLICION TOTAL         
2025-01-8,2024-05-28,96200800000,"138,83",VIVIENDA                 
2025-01-8,2024-10-29,43401400000,"148,06",VIVIENDA                 
2025-01-8,2024-11-5,64503700000,"173,47",REG DEPOSITO             
2025-01-8,2024-11-26,16503000000,"107,44",VIVIENDA                 
2025-01-9,2024-10-29,86900300000,"313,28",DEPOSITO                 
2025-01-9,2024-10-29, P1302500700000  ,"1024,95",INDUSTRIA                
2025-01-9,2024-11-29, 01117E00300000  ,"294,73",VIVIENDA                 
2025-01-10,2024-11-28,33701800000,"406,56",VIVIENDA                 
2025-01-13,2024-08-22,127601100000,"299,79",VIVIENDA                 
2025-01-13,2024-10-14,20001500000,"54,26",VIVIENDA                 
2025-01-13,2024-10-28,39200300000,"192,02",CONFORME A OBRA          
2025-01-13,2024-10-29,20001200000,"116,21",VIVIENDA                 
2025-01-15,2024-09-23,82602400000,"9100,95",REGULARIZACION           
2025-01-15,2024-11-21, 01019D01000000  ,"154,98",VIVIENDA-QUINCHO         
2025-01-16,2024-09-20,90804400000,"64,5",QUINCHO                  
2025-01-16,2024-11-27,41902400002,"190,79",VIVIENDA                 
2025-01-17,2020-07-16,84102800000,"229,02",VIVIENDA                 
2025-01-17,2023-10-27,73902500000,"313,26",REGUL.VIVIENDAS          
2025-01-17,2024-12-13,44103400000,"259,14",VIVIENDA                 
2025-01-20,2024-10-23, 0747G201500000  ,"186,5",TALLER HERRERIA          
2025-01-20,2024-10-28, 00962B00400000  ,"223,95",VIVIENDA                 
2025-01-20,2024-11-28,13302600000,"108,06",TALLER                   
2025-01-20,2024-12-4,61700200000,"313,91",VIVIENDA                 
2025-01-21,2024-07-15,50600400000,"394,65",CONSULTORIO              
2025-01-21,2024-12-6, 00833H02500000  ,"844,56",TEMPLO                   
2025-01-21,2024-12-17, 00188C02600000  ,"144,27",VIVIENDA-LOCAL           
2025-01-21,2024-12-18, 00148B00400000  ,"223,77",REGULARIZACION           
2025-01-21,2024-12-26, 00793C03900000  ,"50,37",VIVIENDA                 
2025-01-22,2023-07-4,2602100000,"512,6",LOCAL COM.DEPOS          
2025-01-22,2024-10-2,34502200000,"361,61",VIVIENDA                 
2025-01-22,2024-10-3,21500800000,"156,46",VIVIENDA                 
2025-01-22,2024-11-4, 00077G01300000  ,"205,34",LOCAL PARA RENTAR        
2025-01-22,2024-12-19, 00188C02500000  ,"88,17",VIVIENDA                 
