presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2020-01-30,  /  /  ,89302800000,"193,87",VIVIENDA                 
2020-01-31,2019-05-15, 01261G01100000  ,"374,68",VIVIENDA                 
2020-01-31,2019-08-30, 0812B102300000  ,"223,78",VIVIENDA                 
2020-01-31,2020-01-3,86601000000,"101,48",10M2  POR UNICA VEZ      
2020-02-3,2019-10-4, P1301900100000  ,"5304,5",VIVIENDAS                
2020-02-3,2019-11-25, 00486A00400000  ,"106,34",10M2  POR UNICA VEZ      
2020-02-4,2019-10-10,66202700000,"233,43",VIVIENDA                 
2020-02-4,2019-11-19, 0119CH02900000  ,"103,43",VIVIENDA                 
2020-02-4,2019-11-22, 0119CH03200000  ,"57,6",REG DEPOSITO             
2020-02-4,2019-12-23,34500400000,"161,96",VIVIENDA                 
2020-02-6,2018-10-23, 01117E00100000  ,"654,81",VIVIENDA                 
2020-02-6,2019-12-12, 00953A02000000  ,"140,94",CONS. AMP VIVIENDA       
2020-02-7,2019-06-4,70201400000,"140,89",VIVIENDA                 
2020-02-7,2019-07-12,42801000000,"81,51",AMP VIVIENDA             
2020-02-7,2019-09-26,108602600000,"274,22",VIVIENDA                 
2020-02-7,2019-11-8,3201100000,"82,07",VIVIENDA                 
2020-02-7,2019-12-13,42805000000,"95,92",VIVIENDA                 
2020-02-10,2019-05-7, 00248B02300000  ,"262,33",10M2  POR UNICA VEZ      
2020-02-11,2019-11-29,50900800000,"380,62",VIVIENDA 1 Y 2           
2020-02-11,2019-12-23,44200500000,"110,59",REG ALERO                
2020-02-11,2020-01-3,42903300000,"369,97",LOCAL COMERCIAL          
2020-02-11,2020-01-16, 0930B202700000  ,"128,35",CONS VIVIENDA            
2020-02-12,2019-12-16,42803000000,"8,12",REG VIVIENDA             
2020-02-13,2019-10-7,58302100000,"157,92",VIVIENDAS                
2020-02-13,2020-01-17, 00953O01600000  ,"112,57",VIVIENDA                 
2020-02-14,2019-04-1,44000100000,"3588,17",CLUB                     
2020-02-14,2019-06-13,108602500000,"302,93",VIVIENDA                 
2020-02-14,2019-11-1,7201800000,"121,36",VIVIENDA 1 Y 2           
2020-02-14,2020-01-2, P1400700400000  ,0,DEMOLICION TOTAL         
2020-02-14,2020-01-22,106501500000,60,CONS DEPOSITO            
2020-02-17,2019-08-21,42202600000,"267,88",COMERCIO Y VIVIENDA      
2020-02-17,2019-10-9,64800600000,"133,68",VIVIENDA                 
2020-02-17,2019-11-12,13701200000,"310,18",REG VIVIENDA             
2020-02-18,2018-07-13,110300400000,"141,6",VIVIENDA                 
2020-02-18,2019-10-24,28801800000,"142,13",VIVIENDA                 
2020-02-18,2019-12-13,42804700000,"6,24",DEPOSITO                 
2020-02-18,2019-12-13, 00407A00800000  ,0,DEMOLICION TOTAL         
2020-02-18,2019-12-13, 00953G01600000  ,"201,47",AMP VIVIENDA             
2020-02-18,2019-12-20, 00465A00800000  ,"85,71",VIVIENDA                 
2020-02-18,2019-12-26, 00908F03000000  ,"214,48",VIVIENDA                 
2020-02-18,2020-01-28, 00142N00500000  ,"223,64",AMP VIVIENDA             
2020-02-19,2018-05-7, 00148C00200000  ,"113,3",P.B. 01 PISOS            
2020-02-19,2019-11-19,9200300000,"225,05",VIVIENDA                 
2020-02-20,2019-12-6, 00486A01100000  ,"1526,61",                         
2020-02-20,2019-12-13,76303100000,"91,61",VIVIENDA                 
2020-02-20,2019-12-19,42802000000,"597,56",AMPLIAC.A REGUL          
2020-02-21,2019-12-20, P0401201000000  ,"30327,38",PLANTA DE SILOS          
2020-02-21,2019-12-23, 00407A02500000  ,"88,36",10M2  POR UNICA VEZ      
2020-02-21,2020-01-21,5902400000,"98,26",CONS VIVIENDA            
2020-02-21,2020-01-23,93802000000,"77,58",CONS VIVIENDA            
2020-02-26,2018-09-28, 00758B01100000  ,"174,6",TALLER HERRERIA          
2020-02-26,2019-07-11,2801000000,"136,28",CONS VIVIENDA            
2020-02-27,2018-01-31,64104000000,"185,68",VIVIENDA                 
2020-02-27,2019-06-11, 00747E01700000  ,"149,69",AMP VIVI A REG           
2020-02-27,2019-11-20, 00953O01000000  ,"43,95",CONS VIVIENDA            
2020-02-27,2019-12-12, 00444B00100000  ,"234,12",REG AMPLIACION           
2020-02-27,2020-01-24,28904400000,"253,58",VIVIENDA-COMERCIO        
2020-02-28,2019-12-5,44501100000,"195,14",VIVIENDA                 
2020-02-28,2019-12-20,81801700000,"84,89",CONS VIVIENDA            
2020-02-28,2020-02-3,53900600000,"101,18",REG AMP VIVIENDA         
2020-02-28,  /  /  ,127702600000,0,                         
2020-03-2,2019-10-25,37601200000,"358,19",COCHERA COMERCI          
2020-03-3,2019-12-13,16700200000,"110,37",CONFORME A OBRA          
2020-03-4,2018-08-7,74202900000,"350,65",RELEVAMIENTO             
2020-03-5,2019-06-25, 00118A00100000  ,"160,65",VIVIENDAS COLECTIVAS     
2020-03-5,2019-07-26, 00672A02700000  ,"299,32",VIVIENDAS                
2020-03-5,2019-12-18, 00142N00800000  ,"189,99",VIVIENDA 1 Y 2           
2020-03-5,2020-01-14,94100200000,"92,84",CONS VIVIENDA            
2020-03-5,2020-02-26,76303100000,"150,56",VIVIENDA 1 Y 2           
2020-03-9,2019-04-17,96400900000,"134,5",CONS VIVIENDA            
2020-03-9,2019-09-24, P1302400500000  ,"666,36",GALPON FABRICA           
2020-03-9,2019-10-31, 00955B01900000  ,"151,68",VIVIENDA 1 Y 2           
2020-03-9,2019-12-5,69100600000,"157,47",REG VIVIENDA             
2020-03-9,2020-02-10,9801400000,"144,88",VIVIENDA 1 Y 2           
2020-03-10,2019-06-11,96501100000,"182,66",VIVIENDA                 
2020-03-10,2019-12-3, 0077G102800000  ,"110,91",VIVIENDA                 
2020-03-11,2019-08-23,13802200000,"478,45",DEPOSITO OFICINA         
2020-03-11,2019-10-7,65903700000,"206,09",VIVIENDA                 
2020-03-11,2019-11-4,50100100000,"473,4",VIVIENDAS                
2020-03-11,2019-11-28, 00817A01300000  ,50,QUINCHO                  
2020-03-11,2019-12-26, P1302501400000  ,"3672,06",FABRICA                  
2020-03-12,2015-11-2,120900300000,"230,79",VIVIENDA                 
2020-03-12,2019-12-23, 00931A03000000  ,"168,7",VIVIENDA                 
2020-03-12,2020-02-3, 00955A03100000  ,"102,65",CONS VIVIENDA            
2020-03-13,2019-10-23,56001000000,"230,83",VIVIENDA                 
2020-03-13,2019-11-29,77300900000,"73,81",REG VIVIENDA             
2020-03-13,2019-12-16, 00119D02900000  ,"84,77",VIVIENDA                 
2020-03-13,2019-12-23,73301700000,"163,93",DEPARTAMENTOS            
2020-03-13,2020-02-6,71401000000,"162,72",LOCALES COMERCIALES      
2020-03-16,2019-12-5, 00180A00600000  ,"142,84",CONS VIVIENDA            
2020-03-19,2019-09-20,27701700000,"140,45",VIVIENDA                 
2020-03-19,2019-11-13, P1400602300000  ,0,DEMOLICION TOTAL         
2020-03-19,2019-12-12,57702200000,"302,95",VIVIENDA                 
2020-03-19,2020-01-6,39201300000,"299,42",VIVIENDA                 
2020-03-19,2020-01-9, 00320B00800000  ,"225,88",VIVIENDA                 
2020-03-19,2020-02-11,40100200000,0,DEMOLICION TOTAL         
2020-03-19,2020-02-28,48703400000,"136,89",10M2  POR UNICA VEZ      
2020-04-9,2019-12-19, P1302101100000  ,"2159,38",REG AMPLIACION           
2020-05-18,2019-09-6, 01073E00800000  ,"299,41",DEPARTAMENTOS            
2020-05-18,2020-02-20,39401500000,"315,19",VIVIENDA                 
2020-05-19,2018-06-21,101200600000,"170,06",VIVIENDA                 
2020-05-19,2019-12-19,50902900000,"438,7",FARMACIA MUTUAL          
2020-05-19,2020-01-3,49205100000,"192,8",CONS VIVIENDA            
2020-05-20,2020-02-20,34700600000,"149,98",10M2  POR UNICA VEZ      
2020-05-21,2020-01-7, 00065A00600000  ,"270,73",CONST GALPON             
2020-05-21,2020-02-5,93703400000,"62,04",VIVIENDA 1 Y 2           
2020-05-22,2019-11-27, 00931E01200000  ,"233,89",CONS VIVIENDA            
2020-05-22,2019-12-9,8200200000,"135,66",CONFORME A OBRA          
2020-05-22,2020-01-14, 01261I00400000  ,"337,07",CONFORME A OBRA          
2020-05-26,2019-08-2, 01261G01400000  ,"352,13",VIVIENDA                 
2020-05-27,2019-12-9, P1302301100000  ,"1421,41",DEPOSITO METALURGICO     
2020-05-27,2020-02-26,10800200000,"414,59",CONST GALPON             
2020-05-28,2020-01-23,62602300000,"499,65",OFICINAS                 
2020-05-28,2020-02-10,16301500000,"47,91",CONS VIVIENDA            
2020-05-28,2020-02-13,22101200000,"155,85",VIVIENDA                 
2020-05-28,2020-02-21,11402400000,"90,8",CONS VIVIENDA            
2020-06-1,2019-11-5,113000100000,"1134,44",VIVIENDA                 
2020-06-1,2020-01-21,82900300000,"429,33",HOTEL                    
2020-06-2,2020-02-26,52502200000,"567,52",COMERCIO                 
2020-06-5,2020-01-23,127400200000,"282,18",VIVIENDA                 
2020-06-5,2020-01-28, 00089A00500000  ,"146,98",CONS VIVIENDA            
2020-06-5,2020-01-29,47802700000,"423,31",CONFORME A OBRA          
2020-06-5,2020-02-5,110500400000,"141,78",VIVIENDA                 
2020-06-5,2020-03-2, 00038A02500000  ,"31,36",VIVIENDA                 
2020-06-5,  /  /  ,47802700000,0,                         
2020-06-8,2019-11-28,49600200000,"278,94",CONS. AMP VIVIENDA       
2020-06-8,2020-02-7,84502300000,"215,36",VIVIENDA                 
2020-06-9,2019-12-30, 00953D00600000  ,"299,4",VIVIENDA 1-2-3           
2020-06-11,2020-02-12, 00037603100I01  ,"1452,7",DEPARTAMENTOS            
2020-06-11,2020-02-13,30401300000,"10,12",PISCINA                  
2020-06-11,2020-02-21, 00400A02500000  ,"208,33",VIVIENDA                 
2020-06-11,2020-03-6,39303000000,0,DEMOLICION TOTAL         
2020-06-11,2020-05-20,89603000000,"84,63",CONFORME A OBRA          
2020-06-12,2019-09-3,35100100000,"674,36",OFICINAS                 
2020-06-12,2020-01-27, P1301102200000  ,"19052,51",DEPOSITO DE CER          
2020-06-12,2020-03-6,67600700000,"64,15",CONS VIVIENDA            
2020-06-16,2002-12-30, 0142CH01800000  ,"184,51",CONS DEPOSITO            
2020-06-16,2018-11-27, P1400202100000  ,"2906,71",CENTRO INVESTIGACION     
2020-06-16,2019-06-26,48201600000,"278,39",LOCALES COMERCIALES      
2020-06-16,2019-08-23, P1400202200000  ,"2955,04",CENTRO INVESTIGACION     
2020-06-16,2020-01-24,24602400000,"221,09",LOCAL COMER VIV          
2020-06-16,2020-03-3,101401500000,"200,52",REFORMAS INTERNAS        
2020-06-17,2019-10-17,61903200000,"55,13",REGULARIZACION           
2020-06-17,2019-11-7, 00809F00800000  ,"125,41",CONS VIVIENDA            
2020-06-17,2019-11-12,19200500000,"166,37",VIVIENDA                 
2020-06-17,2020-03-2,66601200000,"37,58",REG AMP VIVIENDA         
2020-06-17,2020-03-10, 01265A01200000  ,"197,05",CONS. AMP VIVIENDA       
2020-06-18,2019-09-25,127701500000,"174,26",VIVIENDA                 
2020-06-19,2019-05-28,49100400000,"132,25",REG VIVIENDA             
2020-06-19,2019-12-5,53402000000,"372,67",CONSULTORIOS MEDICOS     
2020-06-19,2019-12-17,33502100000,"273,26",CONST OFICINAS           
2020-06-19,2020-02-19,64202000000,"103,17",REFORMAS INTERNAS        
2020-06-19,2020-03-16, 00239A00100000  ,"171,14",ANTENA TELECOMUNICACIONES
2020-06-19,2020-03-16,95901000000,0,ANTENA TELECOMUNICACIONES
2020-06-19,2020-03-19,14402000000,"43,52",REG VIVIENDA             
2020-06-22,2020-02-28,110500400000,"194,66",AMP VIVIENDA             
2020-06-23,2019-03-21, 01072E01900000  ,"88,96",REG AMP VIVIENDA         
2020-06-23,2019-11-8,30900800000,"282,31",10M2  POR UNICA VEZ      
2020-06-23,2020-02-4,70202000000,"49,59",VIVIENDA                 
2020-06-24,2011-03-28,98401100000,"59,47",VIVIENDA                 
2020-06-24,2011-03-28,98401500000,"67,52",VIVIENDA                 
2020-06-24,2011-05-30,99403000000,"59,47",VIVIENDA                 
2020-06-24,2014-09-17,29500500000,"694,76",REG AMP                  
