genero,nivel,institucion,año_en_curso,carrera
Masculino,Primario,"ESCUELA NRO 497 ""CAYETANO ALBERTO SILVA""",Séptimo grado,No corresponde
Masculino,Primario,"ESCUELA NRO 497 ""CAYETANO ALBERTO SILVA""",Segundo grado,No corresponde
Masculino,Primario,"ESCUELA NRO 1248 ""ROSA TURNER DE ESTRUGAMOU""",Sexto grado,No corresponde
Femenino,Secundario,"E.E.S.O. Part. Inc. Nro. 3081 ""Dante Alighieri""",Primer año,No corresponde
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Cuarto año,Lic. en Comercio Exterior
Femenino,Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Séptimo grado,No corresponde
Masculino,Primario,"ESCUELA NRO 1198 ""GENERAL JOSE DE SAN MARTIN""",Quinto grado,No corresponde
Femenino,Secundario p/ adultos,"E.E.M.P.A. Nro. 1013 ""Jose Pedroni""",,No corresponde
Masculino,Primario,"ESCUELA NRO. 1198 ""GRAL. JOSE DE SAN MARTIN""",Segundo grado,No corresponde
Masculino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Primer año,"Prof. de Nivel Inicial, E.G.B. y polimodal en Educación Física"
Femenino,Primario,"ESCUELA NRO 1248 ""ROSA TURNER DE ESTRUGAMOU""",Segundo grado,No corresponde
Masculino,Primario,"ESCUELA PART. INC. NRO 1280 ""DANTE ALIGHIERI""",Quinto grado,No corresponde
Masculino,Universitario,UNR (Universidad Nacional de Rosario),Tercer año,Contador Público
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 483 ""EL INDUSTRIAL""",Sexto año,No corresponde
Masculino,Secundario,"E.E.S. ORIENTADA NRO 447 ""VICENTE MANZANO""",Quinto año,No corresponde
Masculino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Cuarto año,Lic. en Psicología
Femenino,Primario,"ESCUELA NRO 497 ""CAYETANO ALBERTO SILVA""",Sexto grado,No corresponde
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Cuarto año,Lic. en Recursos Humanos
Femenino,Universitario,UGR (Universidad del Gran Rosario),Quinto año,Psicopedagogía
Femenino,Primario,"ESCUELA NRO 1198 ""GENERAL JOSE DE SAN MARTIN""",Quinto grado,No corresponde
Femenino,Terciario,ESCUELA SUPERIOR DE ENFERMERÍA,Tercer año,Tec. Sup. en Enfermería
Femenino,Primario,"ESCUELA NRO 1201 ""F. ANTONIO RIZZUTO""",Tercer grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Cuarto año,No corresponde
Masculino,Secundario,"E.E.T.P. Y S.O. Part. Inc. Nro. 8183 Ctro. Agro. Regional""",Tercer año,No corresponde
Masculino,Primario,"ESCUELA NRO 1325 ""JOSE VICENTE CIBELLI""",Tercer grado,No corresponde
Femenino,Universitario,UK - UNIVERSIDAD KENNEDY,Tercer año,Lic. en Psicopedagogía
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 402 ""MANUEL BELGRANO""",Primer año,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Segundo año,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Quinto año,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Segundo año,Lic. en Psicología
Femenino,Primario,"ESCUELA NRO 496 ""MARIANO MORENO""",Tercer grado,No corresponde
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 402 ""MANUEL BELGRANO""",Cuarto año,No corresponde
Femenino,Primario,"ESCUELA NRO 968 ""EDUARDO CASEY""",Quinto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Segundo año,No corresponde
Femenino,Primario,"ESCUELA NRO 1295 ""DE LOS CIEN AÑOS""",Cuarto grado,No corresponde
Masculino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Quinto año,No corresponde
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 402 ""MANUEL BELGRANO""",Sexto año,No corresponde
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 402 ""MANUEL BELGRANO""",Quinto año,No corresponde
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Cuarto año,Lic. en Recursos Humanos
Masculino,Terciario,"Inst. Superior Part. Nro. 4058 ""Dante Alighieri""",Primer año,
Masculino,Primario,"ESCUELA PART. INC. NRO. 1329 ""CULTURA INGLESA""",Sexto grado,No corresponde
Femenino,Universitario,UGR (Universidad del Gran Rosario),Segundo año,Lic. en Kinesiología y Fisiatría
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Segundo año,Lic. en Recursos Humanos
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Cuarto año,Lic. en Psicología
Femenino,Secundario p/ adultos,"E.E.M.P.A. Nro. 1013 ""Jose Pedroni""",,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Quinto año,Lic. en Psicología
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Cuarto año,Lic. en Psicología
Femenino,Primario,"ESCUELA NRO 969 ""JOAQUIN VICTOR GONZALEZ""",Cuarto grado,No corresponde
Femenino,Primario,"ESCUELA NRO 1364 ""NATALIO DEL CARMEN PERILLO""",Tercer grado,No corresponde
Femenino,Terciario,"IES NRO 7 (Inst. Superior Nro. 7 ""Brigadier E. López"")",Tercer año,Prof. en Educación Primaria
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Segundo año,Lic. en Psicología
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Segundo año,Lic. en Administación de Empresas
Masculino,Terciario,UTN (Universidad Tecnológica Nacional),Tercer año,Tec. Univ. en Radiología
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Sexto año,No corresponde
Masculino,Primario,"ESCUELA NRO 1295 ""DE LOS CIEN AÑOS""",Quinto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Cuarto año,No corresponde
Masculino,Primario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Tercer grado,No corresponde
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Segundo año,No corresponde
