Conceptos,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
A. SALDO DISPONIBILIDADES AL INICIO,,,,,,,,,,,,
Caja,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Recaudaciones a depositar.,"11.319.389,16 ","5.049.903,12 ","4.044.400,91 ","3.604.346,23 ","2.671.649,87 ","3.595.466,74 ","3.893.003,87 ","4.294.881,85 ","3.866.209,35 ","3.765.170,37 ","5.520.370,99 ","6.387.066,95 "
Bancos.,"302.611.292,89 ","237.159.388,69 ","149.743.017,03 ","360.852.110,90 ","155.259.968,19 ","154.329.713,84 ","482.413.844,15 ","516.326.176,41 ","492.947.351,67 ","493.761.112,90 ","396.234.800,03 ","636.727.912,73 "
Pazos Fijos ,"696.594.495,31 ","782.707.420,22 ","881.610.210,98 ","755.056.429,99 ","1.105.832.497,00 ","1.166.009.890,83 ","889.602.376,16 ","948.962.961,88 ","1.065.640.028,37 ","1.246.957.243,49 ","1.533.230.204,43 ","1.536.591.935,77 "
Inversiones,"275.162.365,11 ","378.304.178,27 ","524.514.093,05 ","345.334.933,02 ","260.157.504,88 ","264.942.471,80 ","265.344.824,75 ","265.344.824,75 ","226.097.769,58 ","226.097.769,58 ","226.097.769,58 ","220.461.411,95 "
Fondos en tránsito,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","41.749,91 ","436.447,80 ",,,,"16.115.858,16 "
TOTAL,"1.285.687.542,47 ","1.403.220.890,30 ","1.559.911.721,97 ","1.464.847.820,14 ","1.523.921.619,94 ","1.588.877.543,21 ","1.641.295.798,84 ","1.735.365.292,69 ","1.788.551.358,97 ","1.970.581.296,34 ","2.161.083.145,03 ","2.416.284.185,56 "
B. INGRESOS,,,,,,,,,,,,
Ingresos tributarios.,"341.973.598,15 ","145.301.031,37 ","278.284.369,64 ","359.585.391,08 ","451.705.314,57 ","442.139.654,81 ","500.768.248,10 ","509.207.590,03 ","624.954.893,99 ","606.480.559,83 ","618.559.048,64 ","764.274.404,30 "
Ingresos contribución de mejoras.,"17.779.383,38 ","7.738.411,22 ","4.878.420,83 ","11.480.117,32 ","8.456.944,33 ","14.366.399,22 ","14.185.405,54 ","16.220.853,35 ","18.117.663,00 ","25.763.603,15 ","45.871.062,85 ","113.595.583,29 "
