Conceptos,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
A. SALDO DISPONIB. AL INICIO,,,,,,,,,,,,
Caja,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Recaudaciones a depositar.,"1.373.756,71 ","1.777.018,63 ","1.374.970,99 ","1.465.963,08 ","1.189.027,11 ","1.235.641,80 ","1.867.497,27 ","2.238.154,88 ","2.737.576,23 ","1.338.569,00 ","2.041.547,66 ","3.320.553,30 "
Bancos.,"149.055.443,17 ","173.627.417,97 ","126.190.181,98 ","127.284.593,64 ","139.413.876,25 ","132.654.612,11 ","129.149.781,69 ","132.079.363,35 ","169.743.379,75 ","107.363.326,35 ","90.919.727,58 ","138.769.171,34 "
Pazos Fijos ,"0,00 ","0,00 ","90.000.000,00 ","122.406.575,34 ","125.500.192,24 ","128.646.292,94 ","162.033.534,40 ","135.370.439,59 ","139.248.340,18 ","229.689.663,66 ","263.746.527,25 ","241.634.775,00 "
Inversiones,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"150.429.199,88 ","175.404.436,60 ","217.565.152,97 ","251.157.132,06 ","266.103.095,60 ","262.536.546,85 ","293.050.813,36 ","269.687.957,82 ","311.729.296,16 ","338.391.559,01 ","356.707.802,49 ","383.724.499,64 "
B. INGRESOS,,,,,,,,,,,,
Ingresos tributarios.,"117.301.200,48 ","111.332.064,22 ","99.173.888,97 ","119.039.697,00 ","114.121.565,80 ","136.156.543,72 ","151.513.053,93 ","151.466.157,21 ","142.676.739,19 ","140.044.107,22 ","135.650.644,23 ","142.098.048,71 "
Ingresos contribución de mejoras.,"1.380.931,05 ","1.267.539,85 ","2.078.807,25 ","1.926.022,30 ","1.660.049,22 ","3.764.862,11 ","4.189.361,90 ","3.220.973,95 ","5.115.927,81 ","9.177.873,05 ","15.974.328,11 ","56.950.762,88 "
Ingresos no tributarios.,"1.593,21 ","283.789,51 ","2.408.932,68 ","3.095.688,37 ","3.148.552,52 ","3.389.576,61 ","4.116.486,01 ","3.880.695,50 ","3.893.920,61 ","6.866.506,36 ","7.637.280,96 ","8.681.473,99 "
Coparticipación nacional,"35.779.229,63 ","28.192.451,05 ","31.327.247,06 ","64.170.276,46 ","33.901.165,83 ","37.730.442,33 ","41.251.230,58 ","39.531.574,13 ","44.158.346,52 ","42.714.068,23 ","45.792.240,18 ","50.280.386,16 "
Ingresos Fines específicos,"15.927.785,86 ","6.121.644,59 ","34.793.978,10 ","4.613.448,15 ","5.635.477,40 ","2.099.781,26 ","3.748.992,37 ","11.761.103,30 ","11.644.732,78 ","9.647.774,50 ","6.246.629,99 ","7.563.130,11 "
Recursos de Capital,"81.534,84 ","123.533,36 ","174.465,76 ","86.605,70 ","505.409,93 ","4.373.504,16 ","10.495.017,65 ","2.362.421,22 ","3.643.171,67 ","1.494.231,92 ","1.688.072,90 ","1.651.586,81 "
Recursos de financiamiento.,"423.944,69 ","735.400,96 ","738.186,78 ","526.622,10 ","462.153,38 ","507.192,70 ","178.616,69 ","679.492,95 ","788.698,83 ","1.051.174,29 ","1.097.964,73 ","1.226.438,63 "
Coparticipación inmobiliario.,"4.895.268,99 ","36.648.256,65 ","20.707.891,71 ","19.156.866,62 ","20.592.757,32 ","22.741.565,99 ","17.921.595,13 ","20.213.691,88 ","16.835.382,75 ","17.185.928,26 ","9.535.143,05 ","11.279.156,23 "
Coparticipación patentes.,"15.048.315,70 ","34.017.066,13 ","18.165.956,01 ","28.812.880,16 ","16.954.134,07 ","33.930.679,29 ","18.379.361,52 ","31.730.672,10 ","38.371.366,14 ","21.370.382,05 ","36.993.782,23 ","32.171.257,70 "
Coparticipación ingresos brutos.,"18.750.038,29 ","17.188.602,66 ","19.952.750,12 ","18.418.380,58 ","19.152.781,43 ","21.329.831,26 ","23.169.536,44 ","24.151.034,99 ","24.897.925,44 ","26.114.781,53 ","27.515.498,02 ","27.547.881,52 "
Coparticipación Ley Pcial. 13582 Art. 11,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Fondo Asistencia Financiera p/Municipios,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"209.589.842,74 ","235.910.348,98 ","229.522.104,44 ","259.846.487,44 ","216.134.046,90 ","266.023.979,43 ","274.963.252,22 ","288.997.817,23 ","292.026.211,74 ","275.666.827,41 ","288.131.584,40 ","339.450.122,74 "
C. EGRESOS,,,,,,,,,,,,
Egresos por operaciones corrientes.,"183.475.966,64 ","192.615.327,25 ","194.825.535,33 ","243.787.770,51 ","218.606.076,78 ","234.423.576,53 ","297.257.530,00 ","245.898.593,67 ","264.320.271,79 ","257.350.583,93 ","259.072.965,80 ","322.211.662,53 "
Egresos por erogaciones de capital.,"1.138.639,38 ","1.134.305,36 ","1.104.590,02 ","1.112.753,39 ","1.094.518,87 ","1.086.136,39 ","1.068.577,76 ","1.057.885,22 ","1.043.677,10 ",,"2.041.921,45 ","999.653,17 "
Egresos judiciales.,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Egresos extra-presupuestarios.,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Erogaciones por transferencias.,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"184.614.606,02 ","193.749.632,61 ","195.930.125,35 ","244.900.523,90 ","219.700.595,65 ","235.509.712,92 ","298.326.107,76 ","246.956.478,89 ","265.363.948,89 ","257.350.583,93 ","261.114.887,25 ","323.211.315,70 "
,,,,,,,,,,,,
C1.VIARIACIÓN DISPONIBILIDADES (B - C),"24.975.236,72 ","42.160.716,37 ","33.591.979,09 ","14.945.963,54 ","-3.566.548,75 ","30.514.266,51 ","-23.362.855,54 ","42.041.338,34 ","26.662.262,85 ","18.316.243,48 ","27.016.697,15 ","16.238.807,04 "
,,,,,,,,,,,,
D. SALDO DISPONIBILIDADES AL FINAL,"175.404.436,60 ","217.565.152,97 ","251.157.132,06 ","266.103.095,60 ","262.536.546,85 ","293.050.813,36 ","269.687.957,82 ","311.729.296,16 ","338.391.559,01 ","356.707.802,49 ","383.724.499,64 ","399.963.306,68 "
E. SALDO DISPONIBILIDADES AL FINAL,,,,,,,,,,,,
Caja,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Recaudaciones a depositar.,"1.777.018,63 ","1.374.970,99 ","1.465.963,08 ","1.189.027,11 ","1.235.641,80 ","1.867.497,27 ","2.238.154,88 ","2.737.576,23 ","1.338.569,00 ","2.041.547,66 ","3.320.553,30 ","5.099.884,85 "
Bancos,"173.627.417,97 ","126.190.181,98 ","127.284.593,64 ","139.413.876,25 ","132.654.612,11 ","129.149.781,69 ","132.079.363,35 ","169.743.379,75 ","107.363.326,35 ","90.919.727,58 ","138.769.171,34 ","156.684.250,89 "
Pazos Fijos ,"0,00 ","90.000.000,00 ","122.406.575,34 ","125.500.192,24 ","128.646.292,94 ","162.033.534,40 ","135.370.439,59 ","139.248.340,18 ","229.689.663,66 ","263.746.527,25 ","241.634.775,00 ","238.179.170,94 "
Inversiones,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"175.404.436,60 ","217.565.152,97 ","251.157.132,06 ","266.103.095,60 ","262.536.546,85 ","293.050.813,36 ","269.687.957,82 ","311.729.296,16 ","338.391.559,01 ","356.707.802,49 ","383.724.499,64 ","399.963.306,68 "
DIFERENCIA ( D - E ),"0,00","0,00","0,00","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-0,00 ","0,00","0,00"
