Conceptos,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
C1.VIARIACIÓN DISPONIBILIDADES (B - C),"8.993.752,97 ","141.249.604,64 ","90.778.162,75 ","12.373.518,72 ","12.795.213,17 ","-20.867.123,81 ","71.234.896,19 ","37.040.803,79 ","132.515.787,11 ","50.804.963,71 ","338.170.637,77 ","-16.843.299,33 "
,,,,,,,,,,,,
D. SALDO DISPONIBILIDADES AL FINAL,"412.027.998,77 ","553.277.603,41 ","644.055.766,16 ","656.429.284,88 ","669.224.498,05 ","648.357.374,24 ","719.592.270,43 ","756.633.074,22 ","889.148.861,33 ","939.953.825,04 ","1.278.124.462,81 ","1.261.281.163,48 "
E. SALDO DISPONIBILIDADES AL FINAL,,,,,,,,,,,,
Caja,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Recaudaciones a depositar.,"2.789.501,56 ","3.636.307,35 ","3.774.685,32 ","2.632.760,22 ","2.142.266,23 ","2.218.428,89 ","2.953.837,35 ","2.288.933,15 ","1.772.055,82 ","3.276.979,94 ","2.215.870,66 ","11.319.389,16 "
Bancos,"117.096.047,80 ","156.543.129,44 ","198.167.336,69 ","194.415.627,37 ","224.255.645,75 ","186.400.101,78 ","186.481.522,96 ","184.898.878,95 ","269.892.228,58 ","267.613.225,94 ","185.237.837,26 ","302.837.536,74 "
Pazos Fijos ,"292.142.449,41 ","393.098.166,62 ","442.113.744,15 ","459.380.897,29 ","442.826.586,07 ","459.738.843,57 ","530.156.910,12 ","569.445.262,12 ","617.484.576,93 ","669.063.619,16 ","765.780.251,42 ","671.961.872,47 "
Inversiones,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","324.890.503,47 ","275.162.365,11 "
TOTAL,"412.027.998,77 ","553.277.603,41 ","644.055.766,16 ","656.429.284,88 ","669.224.498,05 ","648.357.374,24 ","719.592.270,43 ","756.633.074,22 ","889.148.861,33 ","939.953.825,04 ","1.278.124.462,81 ","1.261.281.163,48 "
DIFERENCIA ( D - E ),"0,00","0,00","0,00","-0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-0,00 ","0,00","0,00"
