Conceptos,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
A. SALDO DISPONIB. AL INICIO,,,,,,,,,,,,
Caja,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Recaudaciones a depositar.,"595.492,78 ","1.526.711,30 ","923.067,90 ","2.137.854,09 ","1.139.465,78 ","841.733,65 ","918.911,57 ","934.466,76 ","1.068.717,97 ","863.381,81 ","1.001.840,27 ","1.339.957,31 "
Bancos.,"55.513.506,51 ","62.466.852,10 ","72.463.182,31 ","63.762.223,03 ","107.458.903,88 ","103.220.892,80 ","129.891.656,15 ","137.002.910,87 ","144.909.808,05 ","163.472.006,50 ","168.023.932,86 ","180.306.364,61 "
Pazos Fijos ,"0,00 ","5.950.000,00 ","37.600.000,00 ","30.000.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Inversiones,"0,00 ","0,00 ",,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"56.108.999,29 ","69.943.563,40 ","110.986.250,21 ","95.900.077,12 ","108.598.369,66 ","104.062.626,45 ","130.810.567,72 ","137.937.377,63 ","145.978.526,02 ","164.335.388,31 ","169.025.773,13 ","181.646.321,92 "
B. INGRESOS,,,,,,,,,,,,
Ingresos tributarios.,"77.796.935,58 ","77.756.778,52 ","54.758.003,41 ","60.954.028,50 ","74.748.308,46 ","92.132.996,42 ","106.038.534,00 ","87.095.026,95 ","93.894.231,15 ","101.030.153,13 ","102.142.123,60 ","102.488.261,14 "
Ingresos contribución de mejoras.,"732.850,97 ","828.458,55 ","1.640.589,35 ","318.892,77 ","654.383,03 ","973.849,82 ","762.714,13 ","786.783,10 ","1.011.638,40 ","835.067,78 ","1.433.597,41 ","1.499.411,06 "
Ingresos no tributarios.,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Coparticipación nacional,"20.536.842,74 ","21.967.355,85 ","19.705.504,24 ","13.939.780,72 ","18.316.864,39 ","21.597.741,67 ","22.137.794,91 ","25.243.913,57 ","24.420.384,96 ","25.526.171,70 ","28.610.514,68 ","31.336.713,38 "
Ingresos Fines específicos,"2.188.392,07 ","2.262.043,87 ","3.646.671,90 ","9.602.923,09 ","4.334.969,70 ","3.960.866,40 ","21.717.374,70 ","4.458.820,97 ","3.295.858,08 ","2.688.309,09 ","3.726.539,49 ","3.224.420,82 "
Recursos de Capital,"66.241,30 ","76.547,28 ","61.427,25 ","49.410,91 ","53.571,87 ","99.949,12 ","152.233,22 ","65.595,37 ","233.608,70 ","58.440,32 ","171.261,26 ","68.875,04 "
Recursos de financiamiento.,"618.729,53 ","697.855,75 ","590.230,42 ","150.842,68 ","127.685,47 ","397.489,30 ","0,00 ","165.286,72 ","332.537,98 ","372.249,60 ","385.275,19 ","317.116,83 "
Coparticipación inmobiliario.,"3.235.044,18 ","23.642.037,95 ","11.617.293,32 ","9.755.464,01 ","12.974.066,06 ","16.633.336,66 ","12.722.907,89 ","13.574.702,77 ","12.262.453,66 ","13.135.639,30 ","11.061.696,19 ","13.872.490,94 "
Coparticipación patentes.,"11.686.003,15 ","29.687.288,29 ","11.808.202,04 ","14.060.135,98 ","11.934.281,73 ","28.158.412,94 ","15.345.036,64 ","12.515.440,19 ","23.546.632,79 ","12.236.551,32 ","22.255.220,42 ","23.194.945,58 "
Coparticipación ingresos brutos.,"13.423.261,35 ","13.384.181,19 ","13.825.054,41 ","13.123.049,85 ","11.894.864,31 ","11.015.008,53 ","13.651.125,99 ","14.361.173,50 ","16.422.436,28 ","16.835.448,49 ","16.380.490,06 ","17.275.855,39 "
Coparticipación Ley Pcial. 13582 Art. 11,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Fondo Asistencia Financiera p/Municipios,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"130.284.300,87 ","170.302.547,25 ","117.652.976,34 ","121.954.528,51 ","135.038.995,02 ","174.969.650,86 ","192.527.721,48 ","158.266.743,14 ","175.419.782,00 ","172.718.030,73 ","186.166.718,30 ","193.278.090,18 "
C. EGRESOS,,,,,,,,,,,,
Egresos por operaciones corrientes.,"115.175.835,60 ","127.973.385,45 ","131.517.211,16 ","108.018.473,87 ","138.370.976,70 ","147.007.435,73 ","184.207.616,13 ","149.033.945,54 ","155.882.683,73 ","166.867.022,11 ","172.386.601,95 ","224.383.594,02 "
Egresos por erogaciones de capital.,"1.273.901,16 ","1.258.066,60 ","1.221.938,27 ","1.237.762,10 ","1.214.141,53 ","1.214.273,86 ","1.193.295,44 ","1.191.649,21 ","1.180.235,98 ","1.160.623,80 ","1.159.567,55 ","1.140.900,16 "
Egresos judiciales.,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Egresos extra-presupuestarios.,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Erogaciones por transferencias.,"0,00 ","0,00 ","0,00 ","0,00 ","-10.380,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"116.449.736,76 ","129.231.452,05 ","132.739.149,43 ","109.256.235,97 ","139.574.738,23 ","148.221.709,59 ","185.400.911,57 ","150.225.594,75 ","157.062.919,71 ","168.027.645,91 ","173.546.169,50 ","225.524.494,18 "
,,,,,,,,,,,,
C1.VIARIACIÓN DISPONIBILIDADES (B - C),"13.834.564,11 ","41.071.095,20 ","-15.086.173,09 ","12.698.292,54 ","-4.535.743,21 ","26.747.941,27 ","7.126.809,91 ","8.041.148,39 ","18.356.862,29 ","4.690.384,82 ","12.620.548,80 ","-32.246.404,00 "
,,,,,,,,,,,,
D. SALDO DISPONIBILIDADES AL FINAL,"69.943.563,40 ","111.014.658,60 ","95.900.077,12 ","108.598.369,66 ","104.062.626,45 ","130.810.567,72 ","137.937.377,63 ","145.978.526,02 ","164.335.388,31 ","169.025.773,13 ","181.646.321,93 ","149.399.917,92 "
E. SALDO DISPONIBILIDADES AL FINAL,,,,,,,,,,,,
Caja,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Recaudaciones a depositar.,"1.526.711,30 ","923.067,90 ","2.137.854,09 ","1.139.465,78 ","841.733,65 ","918.911,57 ","934.466,76 ","1.068.717,97 ","863.381,81 ","1.001.840,27 ","1.339.957,31 ","1.373.756,71 "
Bancos,"62.466.852,10 ","72.491.590,70 ","63.762.223,03 ","107.458.903,88 ","103.220.892,80 ","129.891.656,15 ","137.002.910,87 ","144.909.808,05 ","163.472.006,50 ","168.023.932,86 ","180.306.364,61 ","148.026.161,21 "
Pazos Fijos ,"5.950.000,00 ","37.600.000,00 ","30.000.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Inversiones,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
TOTAL,"69.943.563,40 ","111.014.658,60 ","95.900.077,12 ","108.598.369,66 ","104.062.626,45 ","130.810.567,72 ","137.937.377,63 ","145.978.526,02 ","164.335.388,31 ","169.025.773,13 ","181.646.321,92 ","149.399.917,92 "
DIFERENCIA ( D - E ),"0,00","0,00","0,00","0,00 ","0,00 ","0,00 ","-0,00 ","0,00 ","0,00 ","-0,00 ","0,00 ","0,00"
