mes,retiro,funcionamiento,corralon
5/2021,64,17,2
6/2021,3,14,7
7/2021,28,0,0
8/2021,14,0,2
9/2021,6,2,0
10/2021,5,0,1
11/2021,5,2,1
12/2021,0,0,2
