mes,retiro,funcionamiento,corralon
1/2022,17,3,1
2/2022,18,1,1
3/2022,30,2,1
4/2022,10,3,1
5/2022,16,1,2
6/2022,126,14,7
7/2022,21,2,0
8/2022,8,2,0
9/2022,9,1,1
10/2022,7,1,0
11/2022,13,1,1
12/2022,3,0,0
