mes,funcionamiento,corralon
1/2025,57,0
2/2025,21,2
3/2025,26,3
4/2025,20,1
5/2025,53,3
6/2025,86,9
7/2025,53,1
8/2025,35,1
9/2025,72,3
10/2025,72,5
11/2025,15,2
12/2025,31,2
