mes,kg_decomisados,l_decomisados
2025-01,"1494,379","580,852"
2025-02,"41,145",3
2025-03,"202,442","685,814"
2025-04,"199,773","72,584"
2025-05,"444,254","354,176"
2025-06,0,0
2025-07,0,0
2025-08,"40,22","21,473"
2025-09,8,21
2025-10,"7,88",1
2025-11,"31,57","11,5"
2025-12,"3867,03","25,47"
