genero,capacitación,año,carga_horaria,instructor,institución_empresa
F,Inteligencia Artificial,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Inteligencia Artificial,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Inteligencia Artificial,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Inteligencia Artificial,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Inteligencia Artificial,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Introducción a la Programación,2025,24,"Alan Grieve, Giovanna Piccirilli",Club de Chicas Programadoras
F,Programación Web Front End,2025,18,"Josefina Espíndola, Brenda Hoffmann",Potrero Digital
M,Programación Web Front End,2025,18,"Josefina Espíndola, Brenda Hoffmann",Potrero Digital
M,Programación Web Front End,2025,18,"Josefina Espíndola, Brenda Hoffmann",Potrero Digital
F,Programación Web Front End,2025,18,"Josefina Espíndola, Brenda Hoffmann",Potrero Digital
F,Programación Web Front End,2025,18,"Josefina Espíndola, Brenda Hoffmann",Potrero Digital
F,Programación Web Front End,2025,18,"Josefina Espíndola, Brenda Hoffmann",Potrero Digital
