genero,capacitación,año
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
M,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
M,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
M,Soldador Inicial,2023
F,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
M,Mecánica del Automotor,2023
F,Mecánica del Automotor,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
M,Redes,2023
F,Redes,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
M,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
M,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
F,Introducción en Calidad de Semillas,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
