genero,capacitación,año
M,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
M,REPARACION Y MANTENIMIENTO DE PC,2021
M,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
M,REPARACION Y MANTENIMIENTO DE PC,2021
M,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
M,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
M,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,REPARACION Y MANTENIMIENTO DE PC,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
M,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
M,LIQUIDACION  DE SUELDOS,2021
M,SOLDADOR,2021
F,SOLDADOR,2021
M,SOLDADOR,2021
F,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
F,SOLDADOR,2021
F,SOLDADOR,2021
F,SOLDADOR,2021
F,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,SOLDADOR,2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
F,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
M,"Programación Python, SQL",2021
F,"Programación Python, SQL",2021
M,CONS. EN SECO,2021
F,CONS. EN SECO,2021
M,CONS. EN SECO,2021
M,CONS. EN SECO,2021
M,CONS. EN SECO,2021
M,CONS. EN SECO,2021
M,CONS. EN SECO,2021
F,CONS. EN SECO,2021
M,CONS. EN SECO,2021
M,CONS. EN SECO,2021
F,EXCEL,2021
M,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
M,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
M,EXCEL,2021
M,EXCEL,2021
F,EXCEL,2021
M,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
