escuela_institución,año,cantidad_alumnos,fecha,turno
Cavanagh,2A  y 2B,19,30/07/2025,Mañana
INDUSTRIAL,,3,14/08/2025,Tarde
CANEA,3A,22,03/09/2025,Mañana
Sancti Spiritu,3,25,16/09/2025,Tarde
Maggiolo,3,13,2/10/2025,Mañana
Maggiolo,4,8,6/10/2025,Mañana
Agroterra,,15,8/10/2025,Tarde
Agroterra,,16,9/10/2025,Tarde
Wheelwright,,24,16/10/2025,Mañana
San Eduardo,,53,16/10/2025,Tarde
UTN,,15,10/11/2025,Tarde
Taller Terapéutico UGR,,16,13/11/2025,Tarde
Emprendedoras,,9,3/12/2025,Mañana
