año,tipo_obra,dirección,altura,barrio
2023,Cordón cuneta,"ETEROVICH, ANGEL (EX CALLE 111)",300,Iturbide
2023,Cordón cuneta,"TURNER, SANTIAGO",1000,Victoria
2023,Cordón cuneta,"TURNER, SANTIAGO",900,Victoria
2023,Cordón cuneta,"ITURBIDE, PEDRO",800,Iturbide
2023,Cordón cuneta,CERRITO,800,Victoria
2023,Cordón cuneta,"ITURBIDE, PEDRO",100,Iturbide
2023,Cordón cuneta,ROCA,2300,Rivadavia
2023,Cordón cuneta,"AZCOAGA, FERNANDO (EX CALLE 21)",800,Malvinas Argentinas
2023,Cordón cuneta,"LASCALA, PRICIANO",1000,Rivadavia
2023,Aleta,BALCARCE,1900,Norte
2023,Bocacalle,BALCARCE,2100,Norte
2023,Bocacalle,LOS ANDES,900,Victoria
2023,Aleta,"BRETT, SANTIAGO",1300,Victoria
2023,Bocacalle,BALCARCE,2400,Malvinas Argentinas
2023,Bocacalle,ITALIA,2400,Malvinas Argentinas
2023,Aleta,"TONELLI, MIGUEL (EX CALLE 41 BARRIO CIUDAD NUEVA)",1000,Ciudad Nueva
2023,Bocacalle,PUEYRREDON,2000,Rivadavia
2023,Aleta,AZCUENAGA,2100,San José Obrero
2023,Aleta,PASAJE RODOLFO WALSH (DIMMER AL 1150) EX PASAJE C,2600,
2023,Bocacalle,"TURNER, SANTIAGO",1000,Victoria
2023,Bocacalle,"DIMMER, GUILLERMO (EX CALLE 11) (IMPAR)",1000,San Vicente
2023,Bocacalle,LEONCIO DE LA BARRERA,100,Norte
2023,Aleta,SAENZ PEÑA,2100,Juan XXIII
2023,Aleta,"BASUALDO, NORA WADE DE",100,Norte
2023,Aleta,AGÜERO,2000,Juan XXIII
2023,Bocacalle,AZCUENAGA,2500,San Vicente
2023,Bocacalle,"VALDEZ, DR. JOSE A. (EX CALLE 19)",1000,San Vicente
2023,Bocacalle,ALMAFUERTE,1800,Norte
2023,Aleta,"KIRK, PATRICIO (EX CALLE 57, CONTINUACION AVELLANEDA)",,Norte
2023,Aleta,FORMOSA,600,Ciudad Nueva
2023,Aleta,"AZCOAGA, FERNANDO (EX CALLE 21)",200,Malvinas Argentinas
2023,Bocacalle,PUEYRREDON,2000,Rivadavia
2023,Bocacalle,"JUSTO, JUAN BAUTISTA",800,Iturbide
2023,Bocacalle,SAAVEDRA,2400,Malvinas Argentinas
2023,Bocacalle,SAAVEDRA,400,Centro 1
2023,Bocacalle,ESPAÑA,2100,Norte
2023,Bocacalle,CHACO,1000,Ciudad Nueva
2023,Bocacalle,CHACO,1100,Ciudad Nueva
2023,Aleta,PAZ,1200,Rivadavia
2023,Aleta,SAENZ PEÑA,2000,Juan XXIII
2023,Bocacalle,LOPEZ,1900,Rivadavia
2023,Bocacalle,COLON,2200,Rivadavia
2023,Bocacalle,COLON,2100,Rivadavia
2023,Centro bocacalle,"KIRK, PATRICIO (EX CALLE 57, CONTINUACION AVELLANEDA)",1100,
