mes,caño_400,caño_600,caño_800,caño_1000,caño_1200,block_chico,block_grande
2025-01,0,164,15,82,11,0,1000
2025-02,0,44,25,0,0,0,1880
2025-03,0,40,20,25,0,0,1050
2025-04,0,0,20,88,0,0,730
2025-05,0,0,25,56,0,0,650
2025-06,0,60,33,76,0,0,0
2025-07,0,24,66,106,0,0,1817
2025-08,0,120,35,60,0,0,1243
2025-09,0,96,136,0,0,0,1663
2025-10,0,244,100,10,0,0,2110
2025-11,0,78,28,22,0,0,692
2025-12,0,56,0,82,0,0,3164
