mes,km_totales,cantidad_viajes
1/2024,29645,25459
2/2024,26640,26415
3/2024,50080,40065
4/2024,56428,45561
5/2024,46423,40243
6/2024,49891,41882
7/2024,43490,41027
8/2024,56533,48954
9/2024,55151,50687
10/2024,58196,51524
11/2024,51140,45328
12/2024,47758,42503
