año,tipo_obra,dirección,altura,barrio
2024,Pavimento,PIACENZA,1100,San José Obrero
2024,Pavimento,"LASCALA, PRICIANO",1100,Rivadavia
2024,Pavimento,PIACENZA,1300,San José Obrero
2024,Pavimento,LUSSENHOFF (EX CALLE 27) (PAR),1700,San Vicente
2024,Pavimento,LAVALLE,2150,San José Obrero
2024,Pavimento,"GOUMOND, PADRE FELIX (EX CALLE 15)",1500,San Vicente
2024,Pavimento,FORMOSA,100,Güemes
2024,Pavimento,"ITURBIDE, PEDRO",300,Iturbide
2024,Pavimento,FRANCIA,1800,San José Obrero
2024,Pavimento,RIO DE LA PLATA,100,Pcias Unidas
2024,Pavimento,BELGRANO,2700,Malvinas Argentinas
2024,Pavimento,VELEZ SARSFIELD,1600,San José Obrero
2024,Pavimento,ITUZAINGO,1300,Victoria
2024,Pavimento,ITUZAINGO,1400,Victoria
2024,Pavimento,"ITURBIDE, PEDRO",700,Iturbide
2024,Pavimento,MATHEU,200,Gutiérrez
2024,Pavimento,MARÍA DEL CARMEN GONIEL,2800,San Vicente
2024,Pavimento,MATHEU,100,Gutiérrez
2024,Pavimento,ESPERANTO,1100,Güemes
2024,Pavimento,BUENOS AIRES (EX CALLE I 33),1,Cayetano Silva
2024,Pavimento,RIO DE LA PLATA,200,Cayetano Silva
2024,Pavimento,CATAMARCA,900,Ciudad Nueva
2024,Pavimento,PRINGLES,800,Güemes
2024,Pavimento,CATAMARCA,750,Ciudad Nueva
2024,Pavimento,"AZCOAGA, FERNANDO (EX CALLE 21)",400,Malvinas Argentinas
2024,Pavimento,"GOUMOND, PADRE FELIX (EX CALLE 15)",1250,San Vicente
2024,Pavimento,PIACENZA,200,Norte
2024,Pavimento,ITALIA,1900,Norte
2024,Cordón cuneta,"ETEROVICH, ANGEL (EX CALLE 111)",1,Iturbide
2024,Cordón cuneta,"ETEROVICH, ANGEL (EX CALLE 111)",100,Iturbide
2024,Pavimento,26 (VEINTISEIS) DE ABRIL,1,Rivadavia
2024,Pavimento,ROCA,2100,Rivadavia
2024,Pavimento,"ALBERDI, JUAN BAUTISTA",1700,Rivadavia
2024,Pavimento,26 (VEINTISEIS) DE ABRIL,800,Rivadavia
2024,Pavimento,LEONCIO DE LA BARRERA,300,Norte
2024,Pavimento,EXPEDICIONARIOS ARGENTINOS AL POLO SUR (EX CALLE 55),0,Norte
2024,Pavimento,ISLAS MALVINAS,900,Ciudad Nueva
2024,Cordón cuneta,"LASCALA, PRICIANO",1,Rivadavia
2024,Cordón cuneta,"CAMPS , HECTOR EDUARDO “TITI” (PASAJE A 40)",300,Cayetano Silva
2024,Pavimento,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",1300,San Vicente
2024,Pavimento,"LARRIERA, ROSA M. ALARCON DE",1200,San José Obrero
2024,Pavimento,AZCUENAGA,2200,San José Obrero
2024,Pavimento,LAVALLE,2200,San José Obrero
2024,Pavimento,LAVALLE,2250,San José Obrero
2024,Pavimento,LEONCIO DE LA BARRERA,1200,San José Obrero
2024,Cordón cuneta,"CAMPS , HECTOR EDUARDO “TITI” (PASAJE A 40)",350,Cayetano Silva
2024,Pavimento,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",900,San Vicente
2024,Pavimento,CORRIENTES,900,San Cayetano
2024,Pavimento,CORRIENTES,950,San Cayetano
2024,Pavimento,"TURNER, SANTIAGO",200,Iturbide
2024,Pavimento,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",500,Malvinas Argentinas
2024,Pavimento,SAN MARTIN,2200,Norte
2024,Cordón cuneta,"CAMPS , HECTOR EDUARDO “TITI” (PASAJE A 40)",400,Cayetano Silva
2024,Cordón cuneta,"CAMPS , HECTOR EDUARDO “TITI” (PASAJE A 40)",450,Cayetano Silva
2024,Pavimento,PINTO LUCERO,1,Gutiérrez
2024,Pavimento,BALCARCE,2400,Malvinas Argentinas
2024,Pavimento,ITALIA,2200,Norte
2024,Pavimento,PINTO LUCERO,100,Gutiérrez
2024,Pavimento,PINTO LUCERO,200,Gutiérrez
2024,Cordón cuneta,SAN LUIS,300,Cayetano Silva
2024,Pavimento,PINTO LUCERO,300,Gutiérrez
2024,Pavimento,JUNIN,2100,San José Obrero
2024,Pavimento,"VALDEZ, DR. JOSE A. (EX CALLE 19)",1100,San Vicente
2024,Pavimento,SAN JUAN,200,Cayetano Silva
2024,Pavimento,SAN JUAN,250,Cayetano Silva
2024,Pavimento,SANTA CRUZ,1200,Santa Fe
2024,Cordón cuneta,SAN LUIS,200,Cayetano Silva
2024,Pavimento,"NEWBERY, JORGE",2200,Rivadavia
2024,Pavimento,JUNIN,2150,San José Obrero
2024,Pavimento,"NEWBERY, JORGE",2300,Rivadavia
