mes,km_totales,cantidad_viajes
1/2020,60000,20038
2/2020,60000,21151
3/2020,60000,15693
4/2020,0,0
5/2020,0,0
6/2020,0,0
7/2020,0,0
8/2020,0,0
9/2020,0,0
10/2020,0,0
11/2020,0,8
12/2020,30000,3446
