año,tipo_obra,dirección,altura,barrio
2022,Pavimento,SAN MARTIN,2500,Malvinas Argentinas
2022,Pavimento,SAN MARTIN,2600,Malvinas Argentinas
2022,Pavimento,"GOUMOND, PADRE FELIX (EX CALLE 15)",700,Malvinas Argentinas
2022,Pavimento,"CAMARERO, INGENIERO (EX CALLE 125 Y CALLE 47 BARRIO CIUDAD NUEVA)",500,San Cayetano
2022,Pavimento,"STRENITZ, HUGO (CALLE 43 BARRIO CIUDAD NUEVA)",600,Ciudad Nueva
2022,Pavimento,"BARBERIS, PEDRO FELIX (EX CALLE 14)",700,Ciudad Nueva
2022,Pavimento,"BARBERIS, PEDRO FELIX (EX CALLE 14)",750,Ciudad Nueva
2022,Pavimento,"BARBERIS, PEDRO FELIX (EX CALLE 14)",800,Ciudad Nueva
2022,Pavimento,"DIMMER, GUILLERMO (EX CALLE 11) (PAR)",800,Norte
2022,Pavimento,"DIMMER, GUILLERMO (EX CALLE 11) (PAR)",700,Norte
2022,Pavimento,MONTEAGUDO,300,Rivadavia
2022,Pavimento,26 (VEINTISEIS) DE ABRIL,400,Rivadavia
2022,Pavimento,BELGRANO,2400,Malvinas Argentinas
2022,Pavimento,BELGRANO,2500,Malvinas Argentinas
2022,Pavimento,LEONCIO DE LA BARRERA,1000,San José Obrero
2022,Pavimento,LEONCIO DE LA BARRERA,1100,San José Obrero
2022,Pavimento,LAS HERAS,1100,Güemes
2022,Pavimento,JUJUY,1200,Ciudad Nueva
2022,Pavimento,LAS HERAS,800,Güemes
2022,Pavimento,LAS HERAS,900,Güemes
2022,Pavimento,LAS HERAS,1000,Güemes
2022,Pavimento,"PERILLO, NATALIO (EX CALLE 18)",200,Güemes
2022,Pavimento,"AMINCTON, HARRY LUCAS (EX CALLE 20)",300,
2022,Pavimento,LAVALLE,2000,San José Obrero
2022,Pavimento,"AUFRANC, JOSE (EX CALLE 13)",1400,San Vicente
2022,Pavimento,QUINTANA,100,Norte
2022,Pavimento,VELEZ SARSFIELD,300,Norte
2022,Pavimento,"BASUALDO, NORA WADE DE",0,Norte
2022,Pavimento,"BASUALDO, NORA WADE DE",100,Norte
2022,Pavimento,ESPAÑA,2500,Malvinas Argentinas
2022,Pavimento,"SIGAL, ISAAC (EX CALLE 49 BARRIO CIUDAD NUEVA)",500,San Cayetano
2022,Pavimento,LAPRIDA (PAR),800,Ciudad Nueva
2022,Pavimento,"AUFRANC, JOSE (EX CALLE 13)",500,Malvinas Argentinas
2022,Pavimento,LAPRIDA (PAR),1000,Ciudad Nueva
2022,Pavimento,"PERILLO, NATALIO (EX CALLE 18)",500,Ciudad Nueva
2022,Pavimento,LAPRIDA (PAR),1100,Ciudad Nueva
2022,Pavimento,BALCARCE,1800,Norte
2022,Pavimento,"TURNER, SANTIAGO",1300,Victoria
2022,Pavimento,"TURNER, SANTIAGO",1200,Victoria
2022,Pavimento,"TURNER, SANTIAGO",1100,Victoria
2022,Pavimento,ITUZAINGO,900,Victoria
2022,Pavimento,URUGUAY,1400,Tiro Federal
2022,Pavimento,URUGUAY,1500,Tiro Federal
2022,Pavimento,PIACENZA,500,Norte
2022,Pavimento,PIACENZA,400,Norte
2022,Pavimento,PIACENZA,300,Norte
2022,Pavimento,SAAVEDRA,2200,Norte
2022,Pavimento,SAAVEDRA,2100,Norte
2022,Pavimento,SAAVEDRA,2000,Norte
2022,Pavimento,"GOUMOND, PADRE FELIX (EX CALLE 15)",1000,San Vicente
2022,Pavimento,"BASUALDO, NORA WADE DE",500,Norte
2022,Pavimento,LAVALLE,2500,San Vicente
2022,Pavimento,LAVALLE,2600,San Vicente
2022,Pavimento,LAVALLE,2700,San Vicente
2022,Cordón cuneta,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",700,Malvinas Argentinas
2022,Pavimento,"PASAJE BAUMANN, DR. RODOLFO (DIMMER AL 1050) EX PASAJE B",2400,San Vicente
2022,Cordón cuneta,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",800,Malvinas Argentinas
2022,Pavimento,AZCUENAGA,2500,San Vicente
2022,Pavimento,AZCUENAGA,2600,San Vicente
2022,Pavimento,PASAJE RODOLFO WALSH (DIMMER AL 1150) EX PASAJE C,2600,
2022,Pavimento,"PASAJE GATTI (AUFRANC, GOUMOND Y MAXWELL AL 1250)",2500,San Vicente
2022,Pavimento,"PASAJE GATTI (AUFRANC, GOUMOND Y MAXWELL AL 1250)",2600,
2022,Pavimento,DORREGO,2200,San José Obrero
2022,Pavimento,"YRIGOYEN, HIPOLITO",2200,
2022,Pavimento,"YRIGOYEN, HIPOLITO",2300,
2022,Pavimento,"LASCALA, PRICIANO",100,Rivadavia
2022,Pavimento,ITALIA,2100,Norte
2022,Pavimento,LEONCIO DE LA BARRERA,100,Norte
2022,Pavimento,LEONCIO DE LA BARRERA,200,Norte
2022,Pavimento,LEONCIO DE LA BARRERA,1600,San José Obrero
2022,Pavimento,"BASUALDO, NORA WADE DE",1100,San José Obrero
2022,Cordón cuneta,CATAMARCA,1100,Ciudad Nueva
2022,Cordón cuneta,"TONELLI, MIGUEL (EX CALLE 41 BARRIO CIUDAD NUEVA)",1100,Ciudad Nueva
2022,Cordón cuneta,CABRAL,1600,Iturbide
2022,Cordón cuneta,"COVASEVICH, JORGE (EX CALLE 113)",300,Iturbide
2022,Cordón cuneta,SAN LORENZO,800,Iturbide
2022,Cordón cuneta,SAN LORENZO,800,Iturbide
2022,Cordón cuneta,"ITURBIDE, PEDRO",200,Iturbide
2022,Cordón cuneta,"LARREA, ATILIO",600,Iturbide
2022,Cordón cuneta,"LARREA, ATILIO",500,Iturbide
2022,Cordón cuneta,"LARREA, ATILIO",400,Iturbide
2022,Cordón cuneta,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",800,Malvinas Argentinas
2022,Cordón cuneta,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",700,Malvinas Argentinas
2022,Cordón cuneta,BELGRANO,2600,Malvinas Argentinas
2022,Cordón cuneta,ALMAFUERTE,2900,Malvinas Argentinas
2022,Cordón cuneta,26 (VEINTISEIS) DE ABRIL,1700,Juan XXIII
2022,Cordón cuneta,26 (VEINTISEIS) DE ABRIL,1600,
2022,Cordón cuneta,AGÜERO,2100,Juan XXIII
2022,Cordón cuneta,AGÜERO,2000,Juan XXIII
2022,Bocacalle,"PERON, PRESIDENTE JUAN DOMINGO (EX ESTADOS UNIDOS) (IMPAR)",900,Victoria
2022,Bocacalle,"PERON, PRESIDENTE JUAN DOMINGO (EX ESTADOS UNIDOS) (IMPAR)",1100,Victoria
2022,Bocacalle,ACCESO A SAN EDUARDO - RUTA PROVINCIAL 4-S (IMPAR),2500,
2022,Aleta,HILDA CORIA Y CATAMARCA,,
2022,Bocacalle,"BARBERIS, PEDRO FELIX (EX CALLE 14)",800,Ciudad Nueva
2022,Bocacalle,"BARBERIS, PEDRO FELIX (EX CALLE 14)",750,Ciudad Nueva
2022,Aleta,"BARBERIS, PEDRO FELIX (EX CALLE 14)",700,Ciudad Nueva
2022,Aleta,"AZCOAGA, FERNANDO (EX CALLE 21)",300,Malvinas Argentinas
2022,Aleta,CATAMARCA,1000,Ciudad Nueva
2022,Bocacalle,BELGRANO,2300,Norte
2022,Aleta,26 (VEINTISEIS) DE ABRIL,400,Rivadavia
2022,Aleta,"COVASEVICH, JORGE (EX CALLE 113)",400,Iturbide
2022,Aleta,"BERTI, CONRADO (EX CALLE 115)",400,Iturbide
2022,Aleta,PASAJE PERU (FALUCHO AL 850),200,Iturbide
2022,Bocacalle,"PERILLO, NATALIO (EX CALLE 18)",200,Güemes
2022,Bocacalle,"AMINCTON, HARRY LUCAS (EX CALLE 20)",200,Güemes
2022,Bocacalle,SAN LORENZO,800,Iturbide
2022,Aleta,PASAJE BARILOCHE (ALSINA AL 1150),200,Güemes
2022,Bocacalle,LEONCIO DE LA BARRERA,1000,San José Obrero
2022,Bocacalle,PIACENZA,1000,San José Obrero
2022,Aleta,"ITURBIDE, PEDRO",300,Iturbide
2022,Centro bocacalle,BALCARCE,1900,Norte
2022,Aleta,"AUFRANC, JOSE (EX CALLE 13)",1300,San Vicente
2022,Centro bocacalle,BALCARCE,2200,Norte
2022,Bocacalle,"PERILLO, NATALIO (EX CALLE 18)",300,Güemes
2022,Bocacalle,"AMINCTON, HARRY LUCAS (EX CALLE 20)",300,
2022,Bocacalle,"GIACAGLIA, ULISES (EX CALLE 22)",300,Güemes
2022,Aleta,"AUFRANC, JOSE (EX CALLE 13)",500,Malvinas Argentinas
2022,Bocacalle,LAPRIDA (IMPAR),1100,Güemes
2022,Aleta,BELGRANO,2600,Malvinas Argentinas
2022,Bocacalle,BELGRANO,1700,Norte
2022,Aleta,"TURNER, SANTIAGO",1700,
2022,Bocacalle,LOS ANDES,800,Victoria
2022,Bocacalle,CERRITO,800,Victoria
2022,Aleta,"TURNER, SANTIAGO",1100,Victoria
2022,Aleta,ALMAFUERTE,2800,Malvinas Argentinas
2022,Aleta,"OVIDIO LAGOS, BULEVAR (RUTA 8) IMPAR",1100,Victoria
2022,Bocacalle,FRENCH,400,Tiro Federal
2022,Aleta,CASTELLI,2100,Norte
2022,Bocacalle,SAAVEDRA,2100,Norte
2022,Aleta,ALMAFUERTE,2100,Norte
2022,Bocacalle,SAAVEDRA,2300,Norte
2022,Aleta,BELGRANO,2500,Malvinas Argentinas
2022,Aleta,CASTELLI,2300,Norte
2022,Bocacalle,LAVALLE,2600,San Vicente
2022,Bocacalle,LAVALLE,2700,San Vicente
2022,Aleta,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",1000,San Vicente
2022,Bocacalle,"YRIGOYEN, HIPOLITO",2200,
2022,Bocacalle,ITALIA,2200,Norte
2022,Bocacalle,"YRIGOYEN, HIPOLITO",2300,
2022,Aleta,26 (VEINTISEIS) DE ABRIL,1700,Juan XXIII
