mes,km_totales,cantidad_viajes
1/2025,30658,27443
2/2025,35274,28926
3/2025,43073,40833
4/2025,41776,43814
5/2025,65543,42944
6/2025,52969,43940
7/2025,41753,39245
8/2025,57995,45558
9/2025,59231,49644
10/2025,59432,49538
11/2025,48977,39566
12/2025,50285,37455
