mes,km_totales,cantidad_viajes
1/2022,32548,12957
2/2022,28721,14733
3/2022,43699,21624
4/2022,44848,22378
5/2022,49993,26336
6/2022,54780,26266
7/2022,45917,19934
8/2022,56272,27408
9/2022,62627,30202
10/2022,55806,30097
11/2022,57090,29906
12/2022,48283,26893
