mes,caño_400,caño_600,caño_800,caño_1000,caño_1200,block_chico,block_grande
2022-01,0,14,0,0,0,0,3400
2022-02,0,17,20,0,42,0,2980
2022-03,0,49,0,0,0,0,4160
2022-04,0,42,6,0,0,0,2730
2022-05,0,0,0,0,6,0,6695
2022-06,0,0,0,29,4,0,5995
2022-07,0,0,0,61,0,0,5115
2022-08,0,0,0,14,0,0,4750
2022-09,0,0,0,20,0,0,4075
2022-10,0,0,0,0,0,0,3026
2022-11,0,0,0,24,0,0,500
2022-12,0,40,0,12,0,0,750
