mes,km_totales,cantidad_viajes
1/2023,34501,20901
2/2023,30433,21065
3/2023,52518,30729
4/2023,44071,28989
5/2023,49176,29749
6/2023,56533,34903
7/2023,44927,28264
8/2023,58350,39269
9/2023,57970,38631
10/2023,38450,29808
11/2023,51560,36488
12/2023,52869,35729
