id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
81,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
107,TITULAR,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,2,0
143,SUPLENTE,INDIVIDUAL - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
165,TITULAR,FAMILIAR - GENERAL,32,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
181,TITULAR,INDIVIDUAL - GENERAL,20,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
192,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,38,MASCULINO,PROPIEDAD ALQUILADA,3,2,1
200,SUPLENTE,FAMILIAR - GENERAL,35,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
251,SUPLENTE,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
318,SUPLENTE,FAMILIAR - GENERAL,39,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
359,TITULAR,FAMILIAR - GENERAL,24,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
393,SUPLENTE,FAMILIAR - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,3,1,2
457,TITULAR,FAMILIAR - GENERAL,34,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,4,2,2
483,SUPLENTE,FAMILIAR - GENERAL,26,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
545,SUPLENTE,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,30,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
645,SUPLENTE,FAMILIAR - GENERAL,23,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
773,TITULAR,INDIVIDUAL - GENERAL,24,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
804,SUPLENTE,FAMILIAR - GENERAL,35,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
816,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,2,1
889,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,27,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
937,TITULAR,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
941,SUPLENTE,INDIVIDUAL - GENERAL,29,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
951,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,37,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,5,3,2
989,TITULAR,INDIVIDUAL - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
1014,SUPLENTE,FAMILIAR - GENERAL,43,FEMENINO,PROPIEDAD ALQUILADA,1,0,1
1028,TITULAR,INDIVIDUAL - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
