id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
2026,TITULAR,FAMILIAR - GENERAL,36,FEMENINO,PROPIEDAD ALQUILADA,2,0,2
284,TITULAR,FAMILIAR - GENERAL,20,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
2038,TITULAR,FAMILIAR - GENERAL,28,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3941,TITULAR,FAMILIAR - GENERAL,37,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,1,0,1
185,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,30,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
6240,TITULAR,FAMILIAR - GENERAL,38,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
4674,TITULAR,FAMILIAR - GENERAL,44,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,0,2
1226,TITULAR,FAMILIAR - GENERAL,32,FEMENINO,PROPIEDAD ALQUILADA,3,3,0
818,TITULAR,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3987,TITULAR,FAMILIAR - GENERAL,19,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,2,1
5863,TITULAR,FAMILIAR - GENERAL,35,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
3733,TITULAR,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
4218,TITULAR,FAMILIAR - GENERAL,36,MASCULINO,PROPIEDAD ALQUILADA,3,2,1
3151,TITULAR,FAMILIAR - GENERAL,37,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
1113,TITULAR,FAMILIAR - GENERAL,34,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
4906,TITULAR,FAMILIAR - GENERAL,32,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
374,TITULAR,FAMILIAR - GENERAL,33,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,1,2
3763,TITULAR,FAMILIAR - GENERAL,29,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
3500,TITULAR,FAMILIAR - GENERAL,52,MASCULINO,PROPIEDAD ALQUILADA,3,0,3
5041,TITULAR,FAMILIAR - GENERAL,33,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
4068,TITULAR,FAMILIAR - GENERAL,30,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
4636,TITULAR,FAMILIAR - GENERAL,36,FEMENINO,PROPIEDAD ALQUILADA,1,0,1
2148,TITULAR,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,0,3
4454,TITULAR,FAMILIAR - GENERAL,42,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,0,1
4842,TITULAR,FAMILIAR - GENERAL,29,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,2,1,1
1781,TITULAR,FAMILIAR - GENERAL,32,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
4558,TITULAR,FAMILIAR - GENERAL,35,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,0,2
5992,TITULAR,FAMILIAR - GENERAL,45,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
3208,TITULAR,FAMILIAR - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
5535,TITULAR,FAMILIAR - GENERAL,35,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
965,TITULAR,FAMILIAR - GENERAL,30,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2556,TITULAR,FAMILIAR - GENERAL,42,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,4,1,3
6101,TITULAR,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,1,2
259,TITULAR,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
835,TITULAR,FAMILIAR - GENERAL,44,MASCULINO,PROPIEDAD ALQUILADA,4,2,2
5275,TITULAR,FAMILIAR - GENERAL,23,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
5531,TITULAR,FAMILIAR - GENERAL,35,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
1135,TITULAR,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,3,2,1
5205,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
5694,TITULAR,FAMILIAR - GENERAL,73,FEMENINO,PROPIEDAD ALQUILADA,1,0,1
1425,TITULAR,FAMILIAR - GENERAL,37,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
1923,TITULAR,FAMILIAR - GENERAL,39,FEMENINO,PROPIEDAD ALQUILADA,3,3,0
1611,SUPLENTE,FAMILIAR - GENERAL,38,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
3520,SUPLENTE,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
1086,SUPLENTE,FAMILIAR - GENERAL,37,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
4808,SUPLENTE,FAMILIAR - GENERAL,44,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
1665,SUPLENTE,FAMILIAR - GENERAL,28,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
3219,SUPLENTE,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
2560,SUPLENTE,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,4,0,4
115,SUPLENTE,FAMILIAR - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
5968,SUPLENTE,FAMILIAR - GENERAL,46,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
2753,SUPLENTE,FAMILIAR - GENERAL,30,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,2,1
3860,SUPLENTE,FAMILIAR - GENERAL,58,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
6138,SUPLENTE,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
1714,SUPLENTE,FAMILIAR - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
340,SUPLENTE,FAMILIAR - GENERAL,37,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
5940,SUPLENTE,FAMILIAR - GENERAL,30,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
3314,SUPLENTE,FAMILIAR - GENERAL,40,MASCULINO,PROPIEDAD ALQUILADA,3,3,0
5416,SUPLENTE,FAMILIAR - GENERAL,54,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
699,SUPLENTE,FAMILIAR - GENERAL,22,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
4710,SUPLENTE,FAMILIAR - GENERAL,32,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,0,2
5228,SUPLENTE,FAMILIAR - GENERAL,38,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,1,2
3269,SUPLENTE,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
3504,SUPLENTE,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
4972,SUPLENTE,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
6093,SUPLENTE,FAMILIAR - GENERAL,56,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
832,SUPLENTE,FAMILIAR - GENERAL,40,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
1832,SUPLENTE,FAMILIAR - GENERAL,44,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,1,2
2130,SUPLENTE,FAMILIAR - GENERAL,35,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
2954,SUPLENTE,FAMILIAR - GENERAL,38,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
1987,SUPLENTE,FAMILIAR - GENERAL,25,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,0,2
2293,SUPLENTE,FAMILIAR - GENERAL,50,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
6103,SUPLENTE,FAMILIAR - GENERAL,51,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
3401,SUPLENTE,FAMILIAR - GENERAL,32,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
5110,SUPLENTE,FAMILIAR - GENERAL,25,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
943,SUPLENTE,FAMILIAR - GENERAL,42,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
4246,SUPLENTE,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
1704,SUPLENTE,FAMILIAR - GENERAL,35,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
4039,SUPLENTE,FAMILIAR - GENERAL,31,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
6242,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,40,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2532,SUPLENTE,FAMILIAR - GENERAL,21,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
5473,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,63,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
1404,SUPLENTE,FAMILIAR - GENERAL,58,MASCULINO,PROPIEDAD ALQUILADA,3,0,3
4756,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,35,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
708,SUPLENTE,FAMILIAR - GENERAL,26,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
4521,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,38,MASCULINO,PROPIEDAD ALQUILADA,5,2,3
310,SUPLENTE,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
1528,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,53,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
4017,TITULAR,INDIVIDUAL - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
6131,TITULAR,INDIVIDUAL - GENERAL,30,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
6256,TITULAR,INDIVIDUAL - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4292,TITULAR,INDIVIDUAL - GENERAL,34,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3787,TITULAR,INDIVIDUAL - GENERAL,22,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
3545,TITULAR,INDIVIDUAL - GENERAL,40,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
6155,TITULAR,INDIVIDUAL - GENERAL,34,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
2032,TITULAR,INDIVIDUAL - GENERAL,29,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
31,TITULAR,INDIVIDUAL - GENERAL,21,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4432,TITULAR,INDIVIDUAL - GENERAL,27,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
2912,TITULAR,INDIVIDUAL - GENERAL,35,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
428,TITULAR,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,32,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
2696,SUPLENTE,INDIVIDUAL - GENERAL,27,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
1468,SUPLENTE,INDIVIDUAL - GENERAL,24,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
2571,SUPLENTE,INDIVIDUAL - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
