id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
2354,SUPLENTE,FAMILIAR - GENERAL,30,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2372,TITULAR,INDIVIDUAL - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
2448,SUPLENTE,FAMILIAR - GENERAL,40,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2466,TITULAR,INDIVIDUAL - GENERAL,27,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
2490,TITULAR,FAMILIAR - GENERAL,42,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,1,1
2536,SUPLENTE,FAMILIAR - GENERAL,29,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,2,1
2554,TITULAR,INDIVIDUAL - GENERAL,29,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
2573,TITULAR,FAMILIAR - GENERAL,31,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
2585,SUPLENTE,INDIVIDUAL - GENERAL,21,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
2651,SUPLENTE,FAMILIAR - GENERAL,29,FEMENINO,PROPIEDAD ALQUILADA,1,0,1
2659,SUPLENTE,FAMILIAR - GENERAL,39,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
2701,SUPLENTE,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
2706,SUPLENTE,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,31,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
2709,TITULAR,INDIVIDUAL - GENERAL,32,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
2717,TITULAR,FAMILIAR - GENERAL,18,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
2775,TITULAR,FAMILIAR - GENERAL,56,MASCULINO,PROPIEDAD ALQUILADA,3,0,3
2833,SUPLENTE,FAMILIAR - GENERAL,22,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
2835,TITULAR,FAMILIAR - GENERAL,28,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2842,TITULAR,FAMILIAR - GENERAL,40,MASCULINO,VIVE EN SU LUGAR DE TRABAJO,1,0,1
2849,TITULAR,FAMILIAR - GENERAL,35,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2850,SUPLENTE,FAMILIAR - GENERAL,39,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,2,1
2854,SUPLENTE,FAMILIAR - GENERAL,48,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,1,0,1
2866,SUPLENTE,FAMILIAR - GENERAL,29,FEMENINO,PROPIEDAD ALQUILADA,3,1,2
2902,TITULAR,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,22,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
2913,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,33,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2920,SUPLENTE,FAMILIAR - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
2927,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,1,1,0
3032,SUPLENTE,INDIVIDUAL - GENERAL,29,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
3034,SUPLENTE,FAMILIAR - GENERAL,31,FEMENINO,PROPIEDAD ALQUILADA,4,1,3
3059,TITULAR,FAMILIAR - GENERAL,20,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
3086,TITULAR,FAMILIAR - GENERAL,39,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
3099,TITULAR,INDIVIDUAL - GENERAL,38,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3102,SUPLENTE,FAMILIAR - GENERAL,37,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3111,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,50,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3113,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,62,MASCULINO,PROPIEDAD ALQUILADA,3,0,3
3145,TITULAR,FAMILIAR - GENERAL,54,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3160,TITULAR,INDIVIDUAL - GENERAL,49,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3173,TITULAR,FAMILIAR - GENERAL,37,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
3183,TITULAR,FAMILIAR - GENERAL,68,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
3191,TITULAR,FAMILIAR - GENERAL,38,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
3213,SUPLENTE,FAMILIAR - GENERAL,34,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3231,TITULAR,FAMILIAR - GENERAL,#REF!,OTRO,PROPIEDAD ALQUILADA,2,2,0
3272,TITULAR,FAMILIAR - GENERAL,49,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
