id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
124,SUPLENTE,FAMILIAR - GENERAL,29,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
76,TITULAR,FAMILIAR - GENERAL,51,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,1,1
33,TITULAR,FAMILIAR - GENERAL,25,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
196,SUPLENTE,INDIVIDUAL - GENERAL,22,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
71,TITULAR,FAMILIAR - GENERAL,22,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
55,TITULAR,FAMILIAR - GENERAL,40,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,3,1,2
202,SUPLENTE,INDIVIDUAL - GENERAL,19,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
77,TITULAR,FAMILIAR - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
121,SUPLENTE,FAMILIAR - GENERAL,23,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
20,TITULAR,FAMILIAR - GENERAL,26,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
22,TITULAR,FAMILIAR - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
50,TITULAR,FAMILIAR - GENERAL,23,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,1,1
126,SUPLENTE,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
195,SUPLENTE,INDIVIDUAL - GENERAL,32,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
69,TITULAR,FAMILIAR - GENERAL,41,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,3,2,1
44,TITULAR,FAMILIAR - GENERAL,23,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
87,SUPLENTE,FAMILIAR - GENERAL,51,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
25,TITULAR,FAMILIAR - GENERAL,42,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,3,0
89,SUPLENTE,FAMILIAR - GENERAL,36,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,3,2,1
122,SUPLENTE,FAMILIAR - GENERAL,21,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,2,0
6,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,37,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
