id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
1195,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,43,MASCULINO,PROPIEDAD OCUPADA DE HECHO,1,1,0
488,TITULAR,FAMILIAR - GENERAL,40,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
4051,TITULAR,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD ALQUILADA,1,1,0
1758,TITULAR,FAMILIAR - GENERAL,43,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,0,2
3657,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,65,MASCULINO,PROPIEDAD ALQUILADA,1,1,0
1535,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,43,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
2355,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,2,1
165,TITULAR,FAMILIAR - GENERAL,33,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
4399,TITULAR,FAMILIAR - GENERAL,51,FEMENINO,PROPIEDAD ALQUILADA,1,0,1
1130,TITULAR,FAMILIAR - GENERAL,22,MASCULINO,VIVE EN SU LUGAR DE TRABAJO,2,1,1
2465,TITULAR,FAMILIAR - GENERAL,22,MASCULINO,PROPIEDAD ALQUILADA,1,1,0
4532,TITULAR,FAMILIAR - GENERAL,30,MASCULINO,PROPIEDAD ALQUILADA,3,2,1
1663,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,5,1,4
4387,TITULAR,FAMILIAR - GENERAL,26,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,2,1,1
2282,TITULAR,FAMILIAR - GENERAL,38,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
2937,TITULAR,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD ALQUILADA,1,1,0
3260,TITULAR,FAMILIAR - GENERAL,31,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
1486,TITULAR,FAMILIAR - GENERAL,25,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2991,TITULAR,FAMILIAR - GENERAL,23,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,2,2,0
150,TITULAR,FAMILIAR - GENERAL,36,FEMENINO,PROPIEDAD OCUPADA DE HECHO,2,1,1
4025,TITULAR,FAMILIAR - GENERAL,22,MASCULINO,PROPIEDAD ALQUILADA,4,3,1
107,TITULAR,FAMILIAR - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
3545,TITULAR,FAMILIAR - GENERAL,28,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
3746,TITULAR,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD OCUPADA DE HECHO,1,1,0
1199,TITULAR,FAMILIAR - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2884,TITULAR,FAMILIAR - GENERAL,38,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,2,1
4219,TITULAR,FAMILIAR - GENERAL,28,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
880,TITULAR,FAMILIAR - GENERAL,24,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,2,0
2816,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
4518,TITULAR,FAMILIAR - GENERAL,39,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,2,1,1
4707,TITULAR,FAMILIAR - GENERAL,43,FEMENINO,PROPIEDAD ALQUILADA,1,0,1
4249,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,40,MASCULINO,PROPIEDAD ALQUILADA,4,3,1
1217,TITULAR,FAMILIAR - GENERAL,50,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
2148,TITULAR,FAMILIAR - GENERAL,29,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
3405,TITULAR,FAMILIAR - GENERAL,29,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,1,2
3794,TITULAR,FAMILIAR - GENERAL,37,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,3,1,2
3526,TITULAR,FAMILIAR - GENERAL,21,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,2,2,0
2812,TITULAR,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
3377,TITULAR,FAMILIAR - GENERAL,43,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
4045,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,28,MASCULINO,PROPIEDAD ALQUILADA,3,2,1
11,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,28,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
2675,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,44,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
3318,SUPLENTE,FAMILIAR - GENERAL,36,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,4,0,4
3832,SUPLENTE,FAMILIAR - GENERAL,39,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
1134,SUPLENTE,FAMILIAR - GENERAL,29,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,1,0,1
